s_i,f_i,c_i
1,1,42
1,1,100
1,47,62
66,73,38
1,77,98
83,83,95
1,88,100
5,161,94
42,161,97
144,161,99
167,178,93
13,191,100
1,203,70
1,210,94
1,212,98
38,222,31
63,235,100
231,241,46
213,243,38
1,244,17
67,255,92
1,263,25
185,282,96
18,298,100
67,298,82
1,299,10
118,303,96
49,311,36
274,313,45
1,315,47
234,351,69
7,354,100
104,359,99
173,376,29
239,378,83
234,409,100
380,417,99
30,428,96
192,441,98
347,455,38
270,465,91
438,465,25
282,474,5
225,479,100
150,491,97
336,501,9
259,504,64
141,507,80
410,515,100
452,516,65
143,518,66
369,529,100
456,531,20
232,534,14
185,540,82
539,541,100
519,547,100
322,555,6
375,565,77
532,566,44
265,571,15
316,572,48
272,581,29
467,598,44
363,603,54
408,603,8
240,607,1
389,613,36
519,617,98
346,618,100
317,621,96
508,621,74
321,627,95
594,651,95
640,651,48
419,653,91
285,656,86
650,661,98
288,665,100
585,676,94
582,680,70
618,685,91
405,689,88
602,693,83
673,693,96
529,701,92
429,706,80
446,715,100
328,718,100
376,756,93
412,758,87
376,765,18
718,766,98
445,777,100
746,799,100
539,802,19
433,808,100
644,829,87
627,849,19
832,860,100
808,863,59
581,868,79
781,887,100
607,898,96
905,910,99
747,921,99
835,922,90
905,923,57
841,936,99
634,951,76
878,967,100
870,970,100
777,981,99
978,989,85
616,993,97
625,1004,91
847,1004,37
848,1008,34
729,1014,100
767,1020,100
909,1022,100
879,1027,88
865,1033,100
815,1040,69
922,1041,27
901,1045,52
926,1053,81
795,1062,35
696,1070,47
684,1078,93
867,1080,56
772,1093,97
905,1109,62
732,1114,74
736,1115,100
898,1123,70
747,1126,100
935,1134,100
740,1139,28
1020,1141,31
890,1149,96
1105,1150,96
890,1153,89
827,1163,98
1005,1164,81
968,1167,85
813,1172,99
865,1181,29
968,1188,90
917,1201,98
932,1206,92
911,1222,32
942,1229,49
1129,1254,73
1065,1257,100
1136,1272,8
932,1277,85
1155,1303,84
1260,1313,99
917,1314,100
1097,1320,15
974,1336,17
1271,1342,81
1333,1362,98
1340,1371,91
1314,1389,97
1194,1391,98
1165,1400,100
1354,1401,52
1211,1412,98
1235,1433,100
1088,1438,89
1160,1443,28
1379,1457,95
1337,1483,93
1483,1518,86
1454,1521,96
1220,1522,86
1362,1523,96
1419,1528,63
1311,1550,52
1524,1560,99
1458,1564,19
1359,1568,11
1377,1593,40
1243,1600,36
1285,1605,100
1493,1615,97
1567,1616,98
1317,1619,76
1253,1621,97
1461,1623,62
1318,1656,100
1353,1656,100
1327,1663,99
1303,1670,81
1485,1675,62
1597,1684,40
1462,1690,74
1298,1694,82
1559,1703,93
1305,1704,76
1517,1706,59
1415,1713,43
1488,1723,91
1494,1723,90
1535,1726,51
1601,1733,95
1342,1735,89
1411,1749,71
1545,1756,93
1630,1757,100
1705,1765,98
1400,1767,6
1491,1767,23
1772,1775,99
1415,1776,52
1494,1807,23
1501,1819,35
1456,1822,57
1470,1823,98
1721,1823,87
1825,1856,96
1697,1858,78
1669,1862,100
1603,1869,86
1487,1878,29
1570,1887,74
1537,1897,60
1642,1935,98
1555,1936,89
1744,1938,100
1743,1950,100
1926,1957,91
1894,1959,50
1577,1970,59
1590,1971,79
1635,1982,100
1647,2000,48
1753,2000,99
1770,2000,98
1780,2000,99
1790,2000,35
1824,2000,7
1869,2000,91
1875,2000,72
1918,2000,99
1919,2000,100
1947,2000,60
2000,2000,87
