s_i,f_i,c_i
1,2,100
1,42,12
1,56,99
1,96,22
47,105,28
74,142,95
1,147,46
1,152,91
112,176,83
1,185,62
1,190,24
112,208,97
182,213,45
11,226,81
105,233,86
48,235,85
154,255,100
78,256,100
34,261,96
1,281,96
218,284,76
252,286,100
295,318,99
234,337,89
1,343,29
163,343,94
70,349,100
310,352,100
350,360,100
225,366,100
257,367,63
187,374,48
231,374,78
296,412,98
263,422,99
42,433,97
278,452,70
118,469,83
136,469,97
402,470,45
328,478,99
129,479,33
355,486,69
105,494,78
192,503,99
480,504,42
152,509,100
433,523,82
195,549,76
234,560,95
379,563,94
271,565,67
322,579,71
432,579,84
458,586,93
510,609,100
242,612,50
477,630,84
332,640,100
320,655,100
377,678,98
328,695,99
415,708,99
614,711,27
627,716,100
583,748,18
459,749,96
524,750,69
571,751,89
562,757,95
591,763,20
437,769,27
448,769,96
537,779,86
441,783,100
698,793,70
514,802,57
655,802,100
768,805,85
469,833,5
510,842,100
529,849,95
599,851,100
751,868,73
616,876,100
687,883,97
561,903,60
514,909,100
705,915,27
610,937,2
828,937,97
678,943,98
779,958,40
759,967,100
690,972,85
759,989,100
663,1005,90
797,1008,56
902,1028,50
945,1037,25
965,1057,97
843,1059,93
1014,1067,100
1009,1069,49
787,1083,100
972,1086,100
972,1090,100
753,1094,84
728,1095,74
1011,1100,100
873,1102,69
983,1102,95
808,1104,54
863,1104,4
758,1127,59
885,1128,35
943,1138,100
789,1161,20
846,1195,78
903,1199,33
1115,1199,65
956,1201,74
897,1207,99
1069,1209,69
825,1216,98
841,1221,1
1141,1223,83
992,1225,54
874,1237,90
1201,1241,33
1098,1256,91
1231,1259,97
1120,1260,64
1125,1271,100
942,1276,98
1121,1278,100
1258,1278,100
1084,1289,100
1217,1304,67
1053,1306,100
1243,1308,80
1065,1318,86
1211,1319,100
1139,1320,24
1201,1322,100
1097,1323,100
1219,1325,57
972,1335,98
960,1345,62
1339,1348,98
1089,1352,41
1162,1355,34
1030,1359,99
1140,1372,87
1009,1374,90
1034,1375,100
1165,1375,67
1059,1390,99
1029,1393,61
1056,1397,75
1401,1414,86
1144,1415,88
1222,1439,52
1192,1470,100
1452,1485,34
1174,1487,98
1241,1488,100
1445,1504,23
1376,1505,5
1466,1525,4
1202,1529,99
1502,1548,14
1251,1549,74
1336,1559,94
1409,1567,90
1337,1581,74
1373,1582,93
1189,1585,5
1461,1591,100
1205,1594,66
1206,1598,100
1479,1602,66
1214,1603,100
1376,1603,18
1371,1604,86
1591,1605,65
1445,1606,100
1350,1621,73
1457,1624,97
1605,1625,100
1464,1626,98
1512,1631,58
1351,1646,100
1333,1658,51
1382,1659,87
1284,1660,25
1607,1674,100
1500,1675,100
1584,1675,99
1633,1689,100
1337,1697,82
1677,1697,86
1394,1700,81
1426,1702,96
1454,1710,35
1409,1712,99
1369,1723,66
1394,1733,30
1533,1736,71
1571,1737,74
1370,1741,100
1648,1742,67
1528,1748,80
1412,1767,33
1673,1768,100
1745,1787,70
1618,1789,96
1776,1821,97
1689,1822,96
1630,1838,100
1699,1844,87
1835,1863,77
1829,1864,90
1660,1866,28
1624,1894,100
1843,1914,79
1878,1920,31
1652,1925,100
1661,1950,99
1767,1951,54
1928,1960,100
1682,1964,94
1934,1966,79
1770,1976,66
1896,1985,74
1850,1999,22
1674,2000,50
1682,2000,100
1713,2000,47
1726,2000,100
1747,2000,86
1756,2000,95
1764,2000,97
1783,2000,95
1816,2000,92
1869,2000,32
1870,2000,65
1883,2000,50
1895,2000,29
1925,2000,13
