s_i,f_i,c_i
19,41,85
16,55,93
1,63,89
80,108,97
2,136,96
141,142,15
47,143,85
38,163,99
84,185,22
74,204,9
155,220,100
209,233,59
1,252,13
1,254,91
127,255,72
72,273,53
21,282,32
24,289,100
232,298,100
248,315,84
267,317,99
196,326,20
1,330,23
266,338,100
6,345,19
152,345,100
287,345,100
1,377,100
198,378,29
201,383,75
200,402,100
399,408,86
54,410,47
153,426,22
116,428,93
437,440,98
433,456,83
272,460,100
260,461,83
358,469,100
285,470,100
467,470,94
97,485,51
159,488,94
239,492,94
472,501,99
424,505,41
420,511,22
489,511,69
416,512,96
190,514,98
229,515,49
232,519,100
257,520,100
319,520,90
345,544,43
397,550,37
461,555,69
294,558,100
359,558,70
513,580,82
306,581,1
211,582,73
316,597,65
479,599,91
411,604,100
433,605,37
519,608,61
222,612,100
421,617,100
327,622,95
618,647,19
410,653,81
486,671,55
383,672,70
462,673,60
591,676,84
425,687,86
458,690,69
507,690,17
550,703,32
700,703,100
575,719,97
359,724,39
384,733,68
403,733,100
487,746,69
407,749,82
640,760,94
379,763,99
490,768,95
665,774,99
423,781,62
588,794,97
738,814,84
629,817,67
823,847,100
750,863,100
652,872,59
853,887,98
620,899,99
538,907,85
780,931,99
568,932,93
669,944,62
815,952,96
589,968,97
794,973,82
656,988,95
835,992,55
854,992,96
836,1009,94
700,1030,84
915,1031,3
832,1047,78
1050,1063,88
902,1070,98
762,1075,100
804,1079,76
1017,1082,99
1026,1082,87
893,1088,13
864,1091,18
750,1095,66
910,1096,100
773,1119,100
802,1119,100
857,1119,31
871,1125,100
905,1127,97
840,1139,93
982,1163,49
901,1165,100
928,1168,31
847,1194,84
971,1196,97
1159,1219,100
1114,1223,100
1007,1230,93
1076,1240,100
872,1257,99
1220,1272,32
1163,1283,100
902,1290,100
1143,1298,91
1079,1300,100
1134,1316,41
934,1321,100
947,1339,94
953,1346,97
1151,1349,66
1156,1358,100
1031,1359,9
1043,1367,34
1180,1368,100
1173,1369,93
1259,1379,100
1348,1379,47
1219,1405,75
1144,1412,100
1146,1414,98
1235,1421,91
1330,1430,81
1388,1433,60
1357,1438,98
1094,1450,57
1278,1451,8
1316,1469,57
1193,1483,20
1261,1487,85
1349,1493,89
1202,1504,4
1273,1510,59
1261,1514,61
1305,1527,56
1305,1527,68
1433,1541,95
1281,1570,77
1221,1573,80
1276,1574,78
1191,1575,79
1374,1589,75
1419,1599,99
1549,1599,93
1419,1603,85
1425,1604,100
1505,1608,10
1467,1612,100
1247,1643,84
1579,1647,100
1350,1648,78
1426,1648,99
1464,1660,89
1371,1685,74
1510,1693,95
1636,1693,80
1679,1701,34
1418,1702,48
1395,1706,60
1500,1706,40
1390,1713,98
1466,1766,81
1757,1783,100
1621,1792,67
1659,1800,30
1532,1820,97
1824,1825,20
1547,1835,70
1521,1838,4
1515,1857,100
1827,1862,99
1641,1884,92
1521,1885,74
1580,1897,91
1659,1907,49
1766,1918,93
1805,1921,96
1577,1927,94
1741,1937,100
1731,1942,100
1642,1944,100
1695,1945,93
1781,1945,99
1850,1946,64
1857,1953,98
1588,1965,18
1721,1970,73
1663,1971,8
1645,1973,100
1595,1989,50
1643,1994,95
1681,1994,95
1722,2000,100
1724,2000,79
1751,2000,62
1751,2000,100
1801,2000,36
1817,2000,84
1831,2000,94
1896,2000,70
1929,2000,98
1938,2000,79
1942,2000,100
1947,2000,99
1962,2000,96
1966,2000,97
2000,2000,7
2000,2000,36
2000,2000,70
2000,2000,94
