s_i,f_i,c_i
1,1,65
1,1,83
1,1,100
1,25,54
1,38,96
55,85,99
74,86,80
1,96,60
30,100,61
3,120,74
88,124,75
61,127,99
112,127,26
1,139,87
118,142,3
91,144,46
116,154,55
100,158,93
1,169,100
1,219,84
179,220,30
13,224,89
22,228,5
32,244,61
15,245,100
63,254,56
128,256,95
1,294,100
280,305,99
157,318,100
331,333,100
220,338,58
338,355,80
274,359,100
5,378,92
290,384,100
32,387,99
279,399,100
399,407,74
219,417,60
301,417,17
150,420,10
151,423,49
338,442,88
361,446,30
181,465,59
358,502,100
475,502,58
238,503,87
294,509,89
165,534,94
444,534,98
252,536,91
282,546,74
200,550,90
442,572,100
436,573,100
340,591,19
496,593,29
429,596,61
387,606,83
562,608,13
576,609,92
243,615,66
284,618,38
264,621,86
282,624,46
588,630,60
389,636,100
335,651,97
447,665,94
571,684,100
434,688,24
471,716,68
692,734,44
510,736,96
456,746,90
358,750,35
558,762,99
441,763,80
404,781,34
652,781,48
573,791,16
640,795,14
583,798,28
714,811,50
586,823,81
828,843,77
787,846,100
750,867,100
650,875,85
846,900,37
774,913,100
628,928,100
760,930,100
611,934,6
619,934,49
829,938,50
585,944,53
661,953,60
772,960,69
900,967,83
743,985,35
902,1003,99
883,1010,100
652,1015,52
703,1019,100
697,1026,96
713,1032,85
709,1046,100
1021,1059,19
708,1062,93
830,1082,100
986,1083,73
839,1085,88
1063,1085,44
857,1097,67
804,1112,97
984,1133,52
830,1143,100
1145,1153,35
835,1157,28
1167,1170,95
782,1171,16
1051,1184,96
1153,1184,89
1086,1195,100
966,1209,30
938,1226,51
905,1227,81
1169,1227,9
1138,1238,100
1234,1256,69
923,1260,85
1171,1263,96
1035,1278,100
1249,1287,91
1157,1299,100
914,1301,100
937,1318,77
1127,1327,97
1038,1330,82
1143,1336,100
1220,1342,97
1308,1351,100
1029,1355,99
1304,1358,74
1226,1360,4
1227,1364,69
1271,1371,96
1062,1372,100
1176,1378,96
1024,1385,62
1293,1392,48
1119,1399,100
1317,1400,62
1214,1417,53
1131,1448,5
1076,1466,76
1355,1468,89
1464,1473,93
1417,1488,100
1454,1488,55
1195,1499,88
1280,1500,37
1142,1503,96
1151,1509,98
1257,1514,99
1467,1518,80
1321,1520,100
1513,1523,99
1314,1537,100
1303,1548,100
1236,1555,89
1396,1555,67
1182,1565,100
1306,1568,18
1267,1571,62
1453,1575,98
1345,1579,81
1215,1585,83
1564,1601,100
1304,1608,84
1505,1608,37
1355,1609,100
1238,1612,100
1236,1615,98
1590,1615,70
1269,1623,3
1484,1628,98
1293,1645,67
1500,1650,17
1564,1659,26
1378,1669,94
1435,1678,20
1302,1685,100
1617,1687,55
1413,1689,81
1584,1691,59
1515,1698,99
1667,1700,52
1594,1707,91
1535,1740,95
1695,1742,7
1513,1747,66
1639,1747,98
1667,1762,82
1615,1769,100
1589,1770,2
1773,1774,30
1573,1803,100
1476,1813,30
1540,1819,62
1807,1823,10
1654,1835,90
1830,1836,87
1543,1845,100
1732,1846,100
1811,1849,78
1476,1862,92
1803,1862,84
1508,1882,86
1572,1882,99
1647,1883,90
1830,1898,100
1500,1899,97
1658,1901,99
1811,1902,79
1812,1917,90
1683,1934,94
1825,1961,45
1739,1970,64
1660,1974,53
1947,1984,93
1593,1988,94
1883,1996,100
1811,1997,99
1876,1997,72
1640,2000,99
1721,2000,69
1739,2000,48
1769,2000,17
1774,2000,70
1785,2000,99
1817,2000,30
1831,2000,99
1833,2000,57
1894,2000,21
2000,2000,97
2000,2000,100
