s_i,f_i,c_i
1,13,100
1,42,98
1,58,19
1,65,100
1,69,45
55,79,16
1,91,84
39,96,100
58,101,90
1,110,11
1,123,100
75,125,10
91,126,84
1,129,100
13,157,30
1,169,84
99,189,98
144,208,72
142,222,100
1,223,94
54,232,100
1,252,34
75,253,26
1,256,83
139,261,94
1,267,52
138,268,99
163,280,22
142,281,100
291,297,100
1,303,44
4,303,100
45,321,72
1,330,86
236,341,97
28,350,65
28,350,89
1,354,9
115,360,94
165,364,66
169,377,100
341,377,100
304,382,71
47,385,98
204,385,88
208,388,100
346,418,68
268,451,100
354,452,90
222,466,99
226,469,27
454,473,83
116,483,90
352,485,100
365,514,79
362,523,42
479,538,100
371,541,87
237,547,97
289,552,100
478,557,98
441,568,100
458,580,100
291,592,93
215,600,82
369,604,100
231,608,100
241,609,37
481,614,53
596,621,99
274,633,98
645,655,73
270,662,70
559,668,74
547,669,99
291,673,61
339,687,98
469,700,91
629,700,97
710,738,69
559,740,92
726,741,83
444,743,70
595,749,100
501,754,79
551,780,2
677,781,58
435,786,78
493,790,100
506,792,59
480,793,100
695,796,78
622,798,95
744,798,100
512,799,100
763,810,55
419,814,8
670,824,92
432,829,91
734,831,17
666,840,85
525,841,100
547,852,24
722,863,79
615,865,100
519,878,100
516,890,98
769,891,95
588,897,100
696,940,100
697,951,100
669,969,9
597,982,15
646,983,63
748,983,94
830,989,80
635,990,99
946,995,97
627,1011,96
659,1012,14
702,1017,100
697,1018,50
907,1018,99
786,1019,96
883,1028,99
717,1033,100
878,1033,56
895,1036,95
849,1040,89
806,1043,86
1017,1045,81
868,1047,44
983,1053,74
870,1057,100
847,1063,57
866,1067,82
729,1085,93
766,1091,95
954,1097,91
1093,1108,100
1091,1126,100
1130,1158,76
836,1186,68
1076,1187,89
820,1193,100
1042,1225,86
1102,1238,71
963,1251,22
911,1258,100
1139,1259,99
970,1270,97
1026,1272,5
1023,1279,48
1087,1289,97
1233,1294,87
1076,1336,100
1090,1363,86
1210,1363,100
1248,1368,72
1143,1379,85
1248,1384,99
1010,1386,56
1040,1394,98
1174,1422,91
1363,1431,26
1321,1435,100
1437,1444,26
1218,1474,96
1088,1477,90
1148,1498,77
1475,1514,96
1175,1516,100
1357,1528,100
1473,1530,83
1505,1548,100
1296,1554,100
1306,1554,94
1352,1558,77
1465,1576,98
1561,1576,99
1558,1583,88
1515,1596,87
1403,1603,100
1470,1603,81
1360,1614,62
1329,1615,85
1343,1633,60
1374,1641,99
1292,1646,55
1590,1649,68
1356,1654,97
1622,1655,100
1639,1667,72
1375,1675,7
1614,1681,22
1557,1683,70
1434,1688,91
1642,1690,88
1646,1694,66
1447,1703,89
1580,1714,93
1523,1719,100
1546,1744,36
1461,1746,94
1479,1749,100
1515,1762,87
1741,1771,87
1721,1778,88
1483,1780,30
1778,1795,85
1530,1815,61
1578,1825,94
1720,1840,100
1625,1852,65
1596,1867,100
1856,1897,95
1809,1908,100
1553,1914,98
1657,1916,100
1538,1918,100
1605,1933,26
1773,1946,7
1893,1951,47
1831,1960,98
1939,1974,49
1684,1979,99
1652,2000,98
1665,2000,69
1681,2000,99
1697,2000,88
1701,2000,75
1701,2000,78
1714,2000,100
1729,2000,23
1735,2000,40
1813,2000,36
1830,2000,100
1838,2000,100
1860,2000,79
1878,2000,71
1948,2000,35
1957,2000,92
1962,2000,100
1973,2000,85
1974,2000,73
1978,2000,33
1990,2000,99
1997,2000,100
2000,2000,88
2000,2000,99
