s_i,f_i,c_i
1,1,83
1,1,100
1,18,72
1,80,23
1,88,29
22,98,54
55,100,57
79,117,96
34,129,76
116,138,100
1,150,98
56,158,100
83,159,100
1,180,100
1,183,98
25,200,81
89,231,34
16,241,28
189,253,71
183,254,99
17,267,81
101,274,100
98,296,92
34,301,98
152,314,97
1,315,36
53,326,2
251,329,65
1,335,100
42,344,100
282,345,60
1,361,32
326,365,100
305,368,69
307,377,18
222,386,44
360,387,96
246,390,64
390,394,100
71,396,82
347,397,28
378,400,54
70,418,54
391,422,100
225,427,83
165,435,100
178,438,29
403,443,24
305,449,95
70,452,67
159,454,78
134,458,87
449,466,84
145,481,100
126,486,29
279,489,4
388,505,87
404,515,39
497,526,86
507,528,44
528,532,78
203,533,27
523,537,11
467,549,100
191,555,81
360,561,58
464,574,84
365,576,77
256,591,92
503,599,100
438,611,80
490,619,90
331,621,9
294,631,10
615,637,100
476,650,100
414,669,99
292,676,100
531,689,100
666,694,95
538,697,97
310,703,29
583,710,100
409,716,52
366,718,35
630,725,99
687,738,99
624,749,99
635,749,34
700,758,100
502,761,98
578,764,43
713,772,77
527,786,43
737,786,92
695,791,75
681,808,100
670,809,86
758,811,100
668,826,81
737,829,93
502,839,70
485,857,99
582,891,65
554,901,100
652,918,7
737,918,99
738,919,75
671,927,50
601,949,100
717,949,100
801,953,100
793,970,90
970,970,84
589,975,40
758,977,83
968,988,100
751,992,95
976,1022,38
753,1024,100
1001,1029,99
644,1030,100
734,1031,80
1039,1046,38
943,1049,100
857,1063,100
1035,1066,26
821,1073,100
990,1080,85
818,1091,100
904,1092,94
1011,1095,42
710,1097,100
867,1108,83
871,1133,97
929,1147,96
1031,1148,100
1129,1151,57
898,1152,72
781,1153,31
838,1156,20
942,1158,80
773,1164,100
876,1168,73
1001,1177,79
1156,1183,96
1095,1188,47
1031,1190,96
965,1205,99
1163,1207,7
1134,1211,79
985,1224,91
964,1248,100
1181,1276,99
1201,1289,60
1012,1295,70
1104,1316,100
1251,1317,56
1322,1327,44
1104,1329,97
1215,1361,32
1119,1368,96
977,1371,67
1079,1389,39
1223,1390,87
1135,1392,11
1187,1396,88
1264,1397,100
1263,1416,53
1276,1425,97
1422,1445,99
1061,1452,97
1192,1462,47
1431,1477,100
1415,1480,98
1323,1481,97
1119,1502,78
1237,1505,67
1252,1510,74
1294,1521,2
1347,1524,100
1498,1530,75
1432,1546,93
1317,1548,100
1213,1551,19
1458,1555,26
1484,1563,100
1573,1575,77
1338,1581,96
1472,1586,97
1468,1595,94
1281,1598,100
1251,1612,10
1238,1621,99
1428,1624,95
1301,1628,89
1596,1631,97
1604,1646,97
1303,1665,46
1633,1684,82
1374,1687,100
1437,1691,100
1527,1706,62
1608,1706,56
1581,1707,100
1437,1710,4
1386,1716,57
1420,1730,62
1586,1731,98
1626,1732,93
1544,1742,10
1535,1780,100
1644,1798,18
1421,1799,98
1673,1812,100
1760,1856,76
1658,1869,97
1531,1876,52
1513,1881,100
1740,1886,77
1488,1887,74
1561,1888,96
1573,1892,93
1816,1901,45
1767,1909,35
1868,1911,92
1791,1918,25
1619,1920,82
1581,1926,99
1587,1927,64
1881,1930,96
1692,1934,72
1622,1941,100
1640,1941,70
1768,1942,100
1695,1962,97
1643,1972,58
1817,1996,100
1688,2000,94
1752,2000,59
1758,2000,99
1767,2000,100
1813,2000,63
1858,2000,36
1868,2000,94
1894,2000,98
1895,2000,100
1944,2000,100
1961,2000,77
1983,2000,77
