s_i,f_i,c_i
1,1,79
1,1,91
1,1,100
1,22,100
1,26,72
34,35,100
1,39,20
1,64,100
1,70,6
58,72,72
43,127,91
1,133,100
1,136,100
129,140,73
1,155,96
122,168,100
1,186,100
25,195,92
150,204,80
205,205,65
1,215,95
161,218,39
105,233,2
220,234,65
160,236,99
1,242,65
18,245,77
1,251,91
96,263,56
52,268,86
24,277,82
82,285,98
13,289,75
97,305,95
204,306,87
1,320,98
18,324,97
286,326,100
3,340,91
1,359,74
55,383,100
352,383,99
285,394,98
250,395,100
139,403,100
150,407,79
224,407,100
30,421,84
110,423,100
46,439,45
164,445,74
85,447,67
313,465,99
420,466,100
350,469,12
355,473,92
423,482,15
465,484,26
480,487,100
312,488,54
396,494,63
424,503,65
156,504,17
267,513,97
312,514,69
404,525,53
521,533,45
395,546,55
517,557,43
309,563,100
569,589,80
502,595,76
577,599,100
524,605,99
405,607,98
229,623,92
492,624,100
612,625,100
604,640,83
306,653,100
530,654,100
373,662,82
450,681,93
614,694,86
423,716,85
568,723,100
589,726,53
533,753,29
522,808,98
673,819,100
515,821,96
728,829,75
555,844,100
578,844,100
609,846,96
554,848,67
542,850,31
777,857,94
816,871,72
854,884,97
568,891,100
851,902,100
607,920,48
735,935,97
835,940,61
747,941,53
600,960,100
757,967,88
603,968,100
834,971,79
762,989,6
850,989,43
674,992,72
719,1017,100
763,1026,100
993,1028,70
919,1030,89
685,1038,72
854,1042,90
703,1045,60
734,1046,75
809,1046,1
885,1050,65
824,1058,100
818,1071,100
889,1077,32
1063,1077,91
1008,1080,92
764,1086,42
900,1091,61
1055,1094,100
1019,1110,100
1012,1116,100
754,1118,98
1045,1119,85
1046,1119,100
1093,1121,98
1067,1167,33
827,1174,98
936,1185,93
1185,1188,55
1045,1190,90
996,1201,69
954,1210,99
1110,1215,74
897,1220,100
1210,1225,86
1186,1239,66
1148,1244,53
988,1251,70
906,1276,99
999,1281,98
1096,1282,86
1077,1283,48
1168,1288,96
975,1290,83
923,1306,76
1306,1315,79
1226,1343,83
1161,1344,98
994,1345,63
1129,1402,31
1401,1409,38
1173,1410,72
1060,1416,29
1047,1418,100
1327,1435,87
1354,1445,21
1346,1449,73
1340,1453,44
1402,1470,61
1085,1482,100
1234,1495,98
1323,1498,100
1350,1510,94
1173,1511,54
1376,1521,100
1130,1526,98
1397,1528,87
1155,1540,92
1231,1546,56
1313,1547,17
1381,1551,29
1279,1557,50
1254,1558,100
1435,1559,97
1178,1570,81
1237,1571,13
1438,1594,46
1469,1603,75
1383,1623,33
1387,1625,39
1445,1645,53
1449,1669,85
1467,1688,33
1577,1696,92
1353,1700,69
1549,1701,81
1587,1726,99
1341,1728,100
1630,1733,100
1435,1790,99
1438,1791,94
1452,1793,6
1514,1799,73
1518,1799,100
1410,1804,99
1484,1823,99
1732,1828,100
1779,1831,100
1554,1833,86
1508,1835,100
1814,1841,99
1725,1845,100
1612,1851,100
1559,1855,99
1728,1880,100
1768,1887,7
1683,1888,98
1631,1903,81
1789,1903,81
1712,1920,91
1890,1923,96
1801,1932,89
1562,1943,99
1938,1945,76
1668,1952,17
1730,1958,71
1833,1958,100
1588,1976,100
1702,1990,96
1833,1993,100
1879,1993,23
1641,1998,26
1693,1999,92
1738,2000,6
1749,2000,99
1755,2000,100
1756,2000,88
1762,2000,100
1765,2000,98
1795,2000,69
1809,2000,40
1933,2000,100
1940,2000,100
1977,2000,97
1978,2000,100
1997,2000,33
2000,2000,66
2000,2000,83
