s_i,f_i,c_i
1,1,78
1,26,43
1,52,40
18,56,100
26,102,95
1,115,96
84,124,5
30,127,73
1,158,97
75,159,90
1,175,100
16,195,73
148,204,99
1,212,96
72,215,73
134,226,100
1,227,99
1,230,100
1,233,36
1,257,56
54,263,63
45,265,100
1,270,99
246,282,97
1,283,97
157,288,17
239,297,98
24,300,100
116,303,100
149,310,100
309,324,68
143,336,61
71,347,85
109,347,4
312,351,100
174,363,80
89,365,66
167,381,28
120,383,17
386,386,71
305,389,28
149,396,100
244,401,70
191,427,98
241,431,99
165,438,72
306,438,7
301,440,100
194,450,97
448,457,99
224,465,78
217,474,5
374,482,53
488,490,99
116,499,100
323,502,80
397,502,100
495,513,55
464,516,34
246,523,98
240,534,100
382,535,99
410,537,97
204,544,71
388,548,96
376,556,28
361,560,96
288,561,100
461,574,100
383,576,41
465,590,99
556,607,34
484,608,53
474,616,88
538,627,49
474,636,81
526,648,87
366,651,100
313,653,98
355,657,100
511,666,32
461,672,100
584,674,95
493,681,59
417,683,7
518,685,99
382,689,30
572,692,99
676,709,85
667,710,100
663,714,73
533,759,100
634,776,16
669,782,26
482,788,64
492,790,56
786,804,24
649,806,99
649,811,96
765,813,99
763,822,100
506,824,100
778,827,99
584,847,87
837,852,100
724,854,53
832,858,69
544,869,45
533,874,98
605,874,94
531,875,53
575,877,98
595,888,100
828,888,100
891,916,100
745,930,95
813,933,100
603,942,100
642,944,76
688,955,38
763,963,48
887,971,34
828,973,57
772,988,88
856,993,78
928,1001,29
630,1011,93
629,1017,56
833,1021,100
919,1021,100
937,1027,55
975,1037,100
854,1039,7
700,1044,51
928,1051,99
778,1059,50
1019,1074,72
731,1078,61
1003,1085,92
815,1107,33
1082,1124,86
832,1158,5
987,1170,61
888,1172,100
1015,1178,94
1052,1191,87
892,1199,32
894,1201,94
1198,1204,93
1009,1208,100
1094,1218,54
1007,1224,97
1107,1225,100
1006,1249,98
1124,1266,68
1047,1270,100
1019,1284,49
933,1287,98
1211,1293,19
1113,1298,91
1073,1316,59
1093,1320,100
1310,1320,62
1070,1328,99
1159,1338,33
1329,1344,85
1189,1349,67
1082,1376,78
1065,1382,57
1299,1382,100
1237,1383,96
1289,1388,100
1114,1397,91
1321,1402,100
1043,1410,73
1375,1415,39
1098,1423,60
1124,1427,96
1289,1441,100
1235,1478,98
1327,1505,53
1319,1525,59
1269,1528,47
1243,1530,88
1468,1535,100
1330,1548,34
1332,1560,30
1370,1572,94
1574,1584,83
1376,1591,62
1371,1596,69
1298,1614,94
1341,1616,83
1269,1620,39
1423,1632,82
1331,1648,36
1378,1652,100
1480,1657,95
1311,1666,66
1409,1669,80
1406,1677,100
1453,1718,4
1585,1718,35
1563,1720,96
1518,1731,100
1598,1731,84
1523,1736,100
1559,1737,55
1733,1738,82
1381,1750,99
1553,1762,100
1466,1818,55
1553,1821,100
1770,1830,91
1483,1841,97
1728,1844,77
1791,1845,95
1649,1859,68
1604,1861,100
1767,1861,100
1575,1867,100
1726,1867,99
1800,1881,98
1768,1882,98
1504,1885,10
1650,1889,51
1609,1893,14
1721,1914,100
1601,1925,100
1924,1932,21
1591,1947,70
1875,1951,82
1628,1962,100
1867,1991,87
1656,2000,100
1704,2000,61
1719,2000,71
1722,2000,100
1746,2000,95
1749,2000,86
1773,2000,86
1773,2000,100
1863,2000,21
1869,2000,57
1892,2000,2
1966,2000,94
1977,2000,100
1979,2000,86
2000,2000,86
2000,2000,99
