s_i,f_i,c_i
1,1,97
30,33,22
34,55,100
5,60,20
18,68,75
1,90,100
1,100,95
1,105,100
82,109,100
1,128,100
60,140,43
1,152,80
31,154,97
1,160,68
85,160,100
1,189,100
188,192,97
1,205,83
121,212,76
39,219,92
63,225,54
208,226,42
94,231,95
121,235,93
119,238,100
223,247,94
260,273,57
202,281,84
1,287,74
1,299,100
1,304,69
245,307,80
86,310,94
40,312,3
68,317,100
226,319,37
248,319,95
76,326,96
239,335,100
1,357,97
143,361,55
276,362,96
214,383,99
314,391,44
379,394,99
347,399,51
266,400,99
16,407,100
373,409,82
339,415,33
351,438,31
317,440,100
267,444,83
233,459,30
348,459,96
266,462,69
333,469,97
213,478,98
332,484,99
136,491,80
286,491,99
352,498,99
339,499,100
280,510,60
484,526,73
149,547,69
201,549,98
363,552,94
202,558,68
242,559,71
258,578,99
414,590,61
258,601,99
346,603,49
483,615,50
492,625,98
311,658,93
348,678,96
342,686,92
289,688,100
493,691,100
386,694,78
409,706,96
507,706,24
333,724,94
435,733,89
548,740,89
513,741,65
656,771,100
547,775,97
505,777,30
740,777,91
405,801,81
709,811,100
458,819,100
746,824,45
639,827,95
665,827,39
746,832,58
493,842,70
733,842,81
769,847,87
580,855,71
481,872,94
642,875,96
520,876,100
709,890,94
503,897,34
550,897,86
767,898,97
905,912,15
792,923,99
685,929,100
610,935,38
907,940,12
840,946,44
766,948,99
598,949,88
818,953,87
755,961,64
589,977,65
973,989,53
659,990,96
796,990,100
706,1001,95
675,1016,72
1001,1018,39
810,1022,100
688,1041,100
745,1041,22
1012,1054,25
963,1056,95
727,1058,100
1033,1071,99
706,1081,98
810,1081,44
992,1088,30
749,1100,99
1056,1101,100
832,1110,75
784,1130,99
1055,1137,100
972,1151,97
947,1162,98
1136,1162,100
902,1169,82
1023,1171,87
942,1191,80
974,1193,75
960,1196,85
1094,1201,94
848,1203,99
985,1209,76
1038,1215,98
1004,1237,52
1072,1244,86
1208,1267,58
1096,1282,93
1197,1282,41
1145,1288,82
1266,1290,50
960,1298,3
1182,1312,84
1008,1320,91
1065,1322,23
1244,1326,56
1213,1332,99
1239,1334,57
1191,1349,46
1000,1351,97
1036,1382,100
1137,1382,70
1235,1389,91
1043,1404,68
1234,1407,100
1205,1440,34
1048,1447,7
1424,1458,99
1215,1463,100
1395,1465,100
1250,1467,100
1089,1476,71
1135,1488,98
1243,1510,96
1338,1514,98
1377,1514,58
1416,1518,96
1481,1518,89
1305,1545,96
1342,1557,74
1333,1559,99
1375,1572,94
1358,1580,93
1472,1614,21
1238,1620,100
1281,1625,100
1539,1627,100
1247,1630,96
1574,1630,51
1483,1650,100
1600,1669,37
1410,1677,90
1400,1682,75
1647,1711,100
1679,1713,80
1547,1724,98
1495,1725,72
1606,1731,100
1680,1741,96
1564,1745,68
1480,1751,98
1690,1769,100
1449,1780,34
1793,1802,80
1556,1809,100
1544,1815,100
1668,1817,97
1559,1829,84
1600,1829,93
1711,1836,90
1626,1853,74
1680,1860,100
1815,1861,100
1758,1868,23
1629,1884,69
1880,1884,52
1535,1887,100
1770,1894,41
1698,1911,63
1745,1911,88
1649,1917,64
1683,1929,17
1898,1929,98
1797,1964,62
1863,1978,100
1609,1983,52
1882,1988,100
1887,1990,98
1630,2000,79
1679,2000,99
1760,2000,93
1813,2000,100
1831,2000,96
1854,2000,50
1856,2000,100
1900,2000,100
1923,2000,62
1929,2000,66
2000,2000,93
2000,2000,98
