s_i,f_i,c_i
1,1,23
1,1,82
1,1,91
1,13,49
10,43,31
31,54,94
1,60,65
80,90,100
1,101,100
92,110,59
9,121,35
4,125,100
1,126,100
108,126,100
90,131,80
40,132,97
79,140,44
23,142,64
1,146,12
1,150,34
1,152,31
1,157,22
1,160,80
1,161,38
139,166,97
1,167,97
172,177,56
53,188,64
138,208,100
5,221,100
1,232,93
39,240,67
19,249,43
1,250,9
112,282,67
136,288,96
193,295,73
1,296,98
269,303,96
67,308,9
250,318,100
88,321,99
248,333,96
280,335,100
1,339,99
336,342,100
305,347,100
1,349,100
258,360,100
41,363,100
289,381,90
50,395,15
23,397,96
160,425,34
231,447,31
423,452,100
140,454,93
429,464,93
416,470,93
469,475,98
218,477,48
377,493,98
294,496,96
495,499,22
149,515,81
285,518,33
338,524,100
189,526,69
317,530,100
512,544,86
185,576,96
308,579,94
302,590,86
477,599,100
385,603,98
303,614,99
425,638,26
246,640,84
495,640,100
462,672,100
492,685,99
389,691,50
555,691,98
531,698,16
368,704,78
393,710,64
701,724,33
496,725,94
511,738,97
358,750,94
605,760,99
550,764,84
390,782,80
536,793,100
469,804,93
674,822,100
779,825,73
785,828,83
467,837,99
490,843,82
597,850,99
606,855,87
623,900,17
645,903,68
552,908,96
795,909,100
823,909,79
770,933,76
876,940,17
684,943,100
837,948,67
883,1021,77
851,1030,59
815,1033,92
684,1035,63
727,1043,52
931,1057,50
837,1061,100
927,1061,21
950,1077,100
1025,1105,98
811,1106,80
803,1109,99
921,1109,3
825,1133,99
960,1133,89
975,1142,73
788,1146,99
974,1149,59
833,1158,100
899,1158,100
1012,1169,95
1166,1177,95
1038,1182,41
1112,1182,77
892,1198,61
1176,1199,100
903,1210,91
1113,1217,94
850,1233,100
936,1239,100
1120,1239,61
885,1261,92
1002,1272,100
1045,1277,24
1014,1281,85
999,1282,52
1125,1286,21
1281,1293,73
946,1301,91
1077,1312,27
936,1325,34
978,1328,97
1028,1331,1
1271,1341,77
1033,1347,94
1304,1354,5
1081,1355,100
1158,1361,100
1339,1361,89
1387,1389,86
1034,1390,92
1063,1391,100
1213,1393,71
1095,1394,98
1054,1434,41
1123,1439,100
1103,1459,85
1120,1478,100
1267,1478,87
1419,1481,25
1477,1483,100
1350,1505,93
1437,1516,83
1387,1517,95
1244,1523,36
1155,1532,99
1216,1535,100
1363,1542,85
1431,1544,22
1517,1554,72
1228,1555,100
1498,1585,94
1352,1604,96
1497,1607,100
1537,1608,59
1461,1609,64
1441,1617,100
1530,1617,81
1482,1620,20
1510,1623,85
1570,1646,28
1330,1651,78
1271,1659,50
1641,1661,84
1288,1666,41
1451,1670,54
1565,1695,99
1628,1695,74
1357,1705,100
1473,1707,27
1342,1716,100
1733,1738,86
1612,1741,98
1638,1780,50
1715,1815,85
1620,1817,97
1536,1818,88
1630,1822,50
1762,1829,16
1661,1838,27
1580,1855,100
1828,1857,98
1537,1871,99
1810,1873,34
1623,1874,48
1843,1878,92
1808,1885,1
1790,1887,88
1503,1888,93
1556,1889,6
1870,1892,28
1600,1902,66
1859,1906,92
1741,1909,85
1810,1909,2
1708,1920,84
1849,1928,100
1691,1933,100
1786,1936,97
1694,1939,75
1734,1947,84
1802,1948,100
1681,1957,34
1930,1964,60
1899,1972,72
1622,1976,100
1981,1987,97
1880,1993,98
1975,1995,60
1682,2000,87
1718,2000,86
1779,2000,66
1813,2000,25
1833,2000,100
1859,2000,97
1873,2000,100
1922,2000,96
1975,2000,99
1980,2000,100
