s_i,f_i,c_i
1,1,95
40,44,52
13,49,100
1,77,64
1,91,81
84,98,95
1,119,72
1,121,54
81,141,82
47,159,40
1,196,100
166,211,8
153,230,96
1,231,94
233,235,53
175,252,54
183,266,56
13,273,47
232,278,74
1,279,100
110,290,78
145,298,98
285,309,100
226,312,79
1,324,90
50,327,43
93,338,100
34,362,94
237,378,77
147,387,37
304,409,57
126,410,100
130,411,39
360,413,96
96,418,98
294,436,98
111,439,98
396,470,75
169,476,39
86,485,92
358,486,91
278,492,100
376,495,100
336,497,33
210,502,89
418,512,91
259,518,92
510,519,97
464,520,100
256,527,97
386,540,62
460,553,80
195,556,100
235,565,88
502,580,95
458,616,95
363,619,100
296,620,85
262,651,100
549,658,80
583,659,30
335,662,92
285,669,100
285,676,99
278,677,100
337,677,66
295,693,76
541,708,79
416,710,100
587,712,99
651,724,99
457,733,100
647,735,100
357,748,39
656,749,92
378,762,35
702,779,73
416,782,24
767,784,95
687,789,100
738,797,87
694,818,90
773,820,18
425,823,41
463,823,95
715,833,100
701,835,100
753,836,98
538,840,42
821,849,61
610,858,55
713,862,97
609,870,95
667,897,83
641,902,18
810,922,100
853,923,21
754,933,74
664,950,82
694,960,98
916,969,88
849,987,39
896,992,20
855,1004,99
994,1005,69
848,1007,92
866,1008,93
1001,1009,95
910,1015,70
692,1030,96
791,1046,94
849,1062,60
731,1092,98
983,1094,93
817,1097,55
1055,1106,94
921,1110,23
1039,1122,100
977,1125,94
827,1134,56
1101,1161,95
1134,1167,32
879,1168,63
796,1173,85
1137,1174,88
779,1175,69
1141,1183,54
903,1186,91
941,1195,100
1129,1200,100
1164,1213,100
840,1214,92
1047,1215,64
1209,1264,100
1108,1266,100
1031,1269,82
1057,1272,100
1057,1281,100
1112,1297,73
1004,1324,32
1324,1343,86
1107,1358,2
1210,1358,30
1296,1362,66
1350,1363,58
1079,1387,39
1044,1394,97
1127,1395,97
1262,1398,46
1307,1410,94
1020,1414,35
1234,1421,97
1407,1451,86
1440,1458,100
1150,1463,100
1439,1467,17
1292,1481,100
1421,1481,100
1277,1483,79
1381,1486,35
1310,1495,83
1418,1495,99
1250,1500,41
1284,1502,75
1196,1515,69
1239,1516,100
1439,1525,3
1311,1533,66
1344,1541,100
1404,1552,93
1267,1558,91
1534,1558,95
1360,1568,53
1366,1577,97
1204,1578,39
1410,1584,100
1374,1588,100
1296,1603,100
1330,1608,100
1585,1612,96
1326,1613,93
1435,1614,37
1533,1620,90
1491,1625,96
1611,1627,67
1373,1637,88
1458,1650,86
1611,1663,100
1439,1671,86
1647,1675,44
1411,1679,37
1538,1680,51
1593,1684,100
1415,1686,96
1647,1688,40
1508,1693,10
1664,1700,100
1592,1703,86
1327,1708,59
1706,1717,100
1544,1747,100
1649,1756,95
1422,1759,93
1414,1763,25
1728,1769,97
1539,1773,91
1418,1774,82
1392,1782,100
1559,1788,97
1619,1798,99
1563,1799,99
1610,1806,100
1676,1806,93
1689,1808,92
1618,1816,46
1747,1820,100
1773,1827,48
1684,1830,53
1499,1832,10
1500,1832,80
1527,1833,79
1637,1835,47
1627,1836,97
1538,1858,22
1789,1864,99
1476,1867,18
1861,1867,88
1645,1879,96
1634,1888,58
1705,1910,100
1694,1929,99
1700,1930,100
1550,1945,71
1854,1974,12
1964,1987,81
1893,1991,97
1681,2000,94
1707,2000,76
1714,2000,92
1737,2000,56
1740,2000,73
1760,2000,98
1811,2000,99
1825,2000,100
1830,2000,96
1840,2000,98
1857,2000,11
1892,2000,97
1931,2000,49
2000,2000,26
