s_i,f_i,c_i
1,1,60
1,1,91
1,40,24
1,40,82
34,42,62
1,80,97
1,117,100
23,125,86
1,137,97
37,138,88
99,142,96
142,152,35
60,170,48
158,172,86
88,180,43
174,183,65
1,184,56
1,185,37
106,195,96
1,197,6
39,206,100
54,217,92
1,225,82
1,225,95
140,225,92
123,231,94
51,232,19
153,245,80
1,252,96
147,252,96
1,272,100
17,272,59
52,275,62
6,288,39
289,303,63
130,304,100
270,313,59
316,319,100
289,331,100
202,336,7
95,338,80
123,348,95
1,359,98
304,370,96
1,376,90
375,381,98
340,383,99
50,389,100
316,402,9
390,415,39
106,448,1
403,449,63
370,454,100
277,457,100
168,476,99
458,479,95
342,480,100
115,497,84
432,512,48
388,519,63
474,532,44
153,537,64
175,541,42
224,551,94
378,565,68
412,573,25
349,579,89
360,581,96
386,597,93
454,616,100
572,623,73
362,625,98
269,628,97
466,635,75
286,648,5
498,650,92
300,652,88
517,671,100
561,672,91
435,676,32
622,684,55
511,686,98
397,687,86
599,713,100
368,725,86
730,734,10
386,744,66
374,759,100
514,784,100
711,787,87
414,802,72
443,818,34
708,821,46
676,824,96
457,837,96
582,840,100
739,840,100
510,857,94
773,858,100
622,861,92
563,862,99
598,864,46
535,868,78
833,871,96
613,874,21
779,876,75
612,882,88
765,888,86
708,889,72
771,894,17
795,898,73
795,921,100
644,932,100
792,936,6
842,936,60
933,941,96
605,952,85
626,955,40
673,956,91
872,959,67
575,967,77
604,988,34
740,990,99
926,997,97
965,997,92
904,999,81
649,1013,21
636,1019,91
860,1024,100
828,1030,92
882,1038,97
842,1044,33
857,1047,81
953,1059,91
1037,1059,100
707,1061,80
719,1065,49
941,1070,95
867,1084,62
789,1093,94
724,1097,83
921,1097,98
960,1105,100
838,1112,100
1099,1122,27
775,1124,86
920,1132,96
1107,1134,68
820,1148,49
905,1158,75
874,1160,96
976,1161,99
777,1164,40
1066,1168,93
1030,1190,19
1191,1207,32
995,1222,93
1091,1227,100
1039,1239,100
1111,1242,100
858,1255,100
950,1257,100
864,1262,88
1136,1262,52
1046,1263,59
1243,1267,95
926,1272,30
1105,1279,34
1142,1280,47
986,1285,37
924,1301,5
917,1302,2
1232,1313,49
1162,1331,73
1230,1340,98
1108,1342,100
988,1359,54
1243,1360,100
1153,1362,63
1069,1371,5
1232,1374,97
1071,1378,100
1310,1400,94
1277,1407,100
1300,1408,100
1193,1428,99
1229,1436,27
1136,1442,36
1316,1447,93
1360,1449,98
1410,1468,96
1272,1481,85
1394,1510,23
1368,1516,73
1188,1521,97
1410,1522,83
1521,1525,21
1294,1532,12
1323,1536,100
1265,1548,32
1519,1559,93
1203,1577,91
1308,1587,91
1549,1589,38
1325,1610,100
1523,1611,64
1516,1613,45
1465,1634,100
1589,1649,99
1538,1650,84
1411,1660,82
1474,1679,65
1309,1681,100
1505,1687,90
1489,1704,100
1357,1735,100
1514,1741,72
1371,1743,100
1738,1761,100
1387,1763,56
1644,1765,91
1395,1770,70
1673,1779,45
1622,1793,100
1747,1799,87
1658,1801,61
1721,1807,95
1437,1810,82
1797,1820,18
1721,1838,3
1552,1843,76
1501,1846,98
1568,1850,100
1458,1855,100
1719,1856,78
1794,1880,21
1885,1893,64
1539,1901,48
1661,1901,83
1668,1901,7
1538,1902,75
1860,1929,95
1704,1974,91
1656,2000,100
1688,2000,95
1699,2000,90
1708,2000,100
1832,2000,99
1888,2000,98
2000,2000,100
