s_i,f_i,c_i
1,1,95
1,1,100
1,84,49
1,94,83
120,121,36
62,122,99
1,140,30
1,141,3
1,152,35
1,165,17
169,172,57
42,181,100
117,185,99
73,193,85
86,196,47
1,197,88
182,198,76
53,205,100
1,207,84
51,226,100
49,243,95
204,247,82
1,249,39
1,262,75
1,262,84
47,265,82
190,268,60
277,281,99
276,286,87
23,303,68
1,305,59
208,305,100
118,310,100
86,317,64
140,319,1
204,321,99
1,323,85
155,325,49
278,357,15
267,360,70
275,365,100
151,371,97
313,372,99
368,375,93
250,379,63
135,381,98
217,382,41
351,382,52
94,386,74
91,391,92
123,401,100
388,426,54
59,429,93
63,439,85
388,442,100
359,444,36
274,448,100
79,450,44
438,454,91
138,456,100
106,467,94
203,470,100
285,480,96
245,482,77
231,500,22
300,500,87
297,502,49
260,504,10
288,515,58
391,516,98
255,533,99
273,546,59
528,546,59
439,548,97
473,550,64
504,566,97
323,590,100
254,610,95
500,612,65
558,614,98
268,617,100
440,632,99
270,635,81
415,640,88
503,647,39
525,655,92
427,676,100
523,682,20
611,688,100
631,689,100
303,692,67
431,728,39
737,744,32
531,747,86
595,748,98
515,752,97
481,760,96
532,766,71
480,777,16
601,777,100
405,779,33
707,782,83
580,792,97
547,799,51
536,804,72
612,805,83
463,813,6
820,820,100
738,846,100
593,860,98
799,867,98
618,873,31
772,877,74
567,908,93
891,922,85
903,922,80
696,929,95
776,933,78
619,950,15
825,961,98
917,963,84
617,966,100
688,973,100
704,977,78
656,981,10
944,982,88
832,986,82
790,991,100
601,1000,44
797,1000,94
930,1006,100
869,1015,23
660,1036,37
871,1045,51
898,1060,19
959,1065,100
1023,1065,25
776,1090,14
795,1093,61
788,1094,100
1039,1103,100
846,1111,100
1036,1121,33
945,1141,70
936,1147,71
807,1158,20
788,1165,61
992,1186,73
1098,1187,99
1015,1192,70
857,1193,98
1208,1224,82
930,1231,61
1039,1244,99
869,1257,100
891,1264,87
912,1266,100
1018,1285,70
923,1293,97
1029,1294,100
930,1298,73
1289,1300,99
1056,1319,100
1239,1324,15
1018,1328,31
1037,1331,99
1169,1346,40
1150,1347,56
1214,1354,27
1340,1391,100
1318,1395,68
1358,1398,63
1023,1400,59
1239,1410,40
1337,1444,92
1179,1461,100
1458,1490,96
1412,1500,91
1189,1502,58
1292,1504,100
1317,1505,86
1388,1520,100
1304,1528,74
1489,1529,71
1527,1532,61
1193,1542,96
1377,1551,93
1292,1556,74
1333,1574,86
1488,1586,95
1431,1587,100
1582,1593,98
1470,1602,11
1593,1602,90
1353,1603,88
1226,1607,90
1396,1609,95
1259,1611,100
1223,1622,47
1309,1630,96
1561,1635,94
1284,1642,100
1599,1649,90
1410,1654,100
1525,1656,22
1353,1674,100
1363,1680,100
1288,1681,85
1669,1687,83
1463,1702,15
1553,1716,7
1593,1725,61
1737,1771,19
1452,1802,100
1591,1811,24
1780,1843,9
1805,1847,99
1609,1859,92
1672,1860,58
1849,1860,82
1786,1865,60
1767,1868,91
1583,1871,100
1588,1885,70
1690,1891,79
1874,1894,85
1819,1916,98
1834,1916,22
1534,1921,75
1854,1924,100
1834,1937,48
1815,1944,97
1726,1955,21
1805,1966,98
1800,1970,81
1881,1987,100
1746,1989,59
1773,1991,94
1671,1998,13
1673,2000,100
1679,2000,87
1686,2000,74
1694,2000,100
1791,2000,38
1834,2000,100
1941,2000,90
1955,2000,100
2000,2000,44
2000,2000,74
2000,2000,92
