s_i,f_i,c_i
1,1,81
1,1,100
1,1,100
1,1,100
1,14,100
12,19,37
16,44,100
1,75,94
36,76,87
1,80,100
1,92,98
82,108,98
42,126,67
78,150,100
1,160,34
129,163,98
9,195,78
1,203,100
1,205,95
198,208,31
10,214,100
184,224,100
1,252,77
240,278,43
115,280,100
1,283,60
1,285,72
293,295,100
119,310,59
1,311,80
198,323,98
157,342,60
329,347,95
71,348,4
219,348,79
1,352,79
176,354,100
269,366,100
174,378,19
147,383,20
194,386,52
348,386,99
402,404,99
247,408,95
240,410,63
163,412,42
414,414,14
231,415,45
235,453,78
342,456,92
142,459,100
179,461,100
259,465,100
84,466,97
424,474,100
195,475,99
287,476,100
353,493,100
395,493,100
361,504,99
509,511,99
425,516,73
275,525,75
384,528,96
275,534,100
329,536,17
252,540,86
353,543,36
352,551,100
247,563,39
478,576,40
268,587,64
579,594,97
228,595,78
257,595,100
592,601,83
237,602,74
364,602,91
508,603,100
291,605,98
411,607,45
489,608,81
542,628,43
330,629,85
295,636,43
528,637,85
403,664,72
529,664,94
571,702,48
704,709,91
494,717,97
626,717,99
442,721,100
599,725,38
579,734,44
621,736,21
484,743,99
511,744,96
383,749,100
657,754,88
732,761,91
722,762,100
406,774,57
406,793,77
793,798,98
509,802,100
594,808,70
465,809,100
412,811,91
737,816,93
505,837,100
469,845,57
643,849,86
649,857,40
783,877,100
799,878,99
704,884,96
717,891,27
637,914,51
636,920,43
644,943,59
596,953,89
614,972,100
851,994,99
809,1002,100
896,1026,96
932,1031,100
701,1040,100
932,1043,29
920,1046,84
899,1049,100
949,1058,99
727,1065,16
797,1068,46
958,1069,92
782,1074,41
755,1095,71
981,1098,100
825,1103,80
739,1118,86
748,1146,2
1069,1150,30
824,1155,25
789,1169,90
1114,1177,92
791,1188,83
894,1215,2
1050,1216,30
916,1218,92
854,1225,100
959,1228,81
1056,1241,50
1142,1242,85
1228,1243,70
914,1252,97
949,1267,100
1020,1272,98
1255,1278,79
908,1293,98
1119,1293,71
1238,1303,92
947,1314,58
1003,1315,95
1274,1330,36
1120,1350,75
1316,1351,50
976,1364,9
1212,1366,100
1287,1380,100
1315,1384,92
1067,1388,92
1025,1389,72
1333,1395,65
997,1396,74
1193,1427,95
1113,1445,48
1320,1465,100
1141,1475,40
1137,1479,92
1309,1493,100
1241,1503,49
1450,1506,87
1451,1508,2
1409,1510,99
1216,1519,100
1478,1527,100
1501,1528,68
1481,1536,77
1215,1539,71
1315,1558,94
1292,1565,99
1449,1568,89
1552,1580,82
1372,1599,93
1349,1600,3
1444,1612,28
1277,1614,77
1277,1620,100
1225,1622,39
1607,1622,70
1346,1639,100
1320,1647,100
1336,1682,91
1570,1695,38
1337,1704,100
1526,1711,100
1561,1711,80
1517,1727,95
1581,1732,100
1705,1732,85
1550,1733,100
1715,1737,84
1372,1742,25
1537,1742,4
1697,1749,69
1635,1763,46
1542,1799,98
1773,1800,35
1760,1807,92
1715,1808,36
1416,1813,100
1487,1813,77
1464,1814,60
1455,1842,100
1480,1858,62
1535,1864,45
1750,1876,97
1647,1895,7
1675,1895,100
1778,1898,65
1839,1898,74
1725,1900,14
1771,1919,75
1748,1929,99
1923,1929,72
1733,1933,100
1641,1935,100
1833,1945,34
1752,1988,88
1722,1991,100
1644,2000,13
1755,2000,99
1766,2000,64
1854,2000,93
1878,2000,92
1903,2000,87
1921,2000,95
1958,2000,95
2000,2000,77
2000,2000,79
