s_i,f_i,c_i
1,1,96
1,12,100
16,21,41
1,44,100
1,65,100
1,76,53
1,88,94
47,93,82
88,117,45
1,132,99
1,135,100
119,152,88
75,158,100
97,162,20
159,162,13
17,165,100
85,166,100
45,171,89
57,182,100
1,184,82
122,187,36
165,188,97
191,209,96
105,219,50
195,224,60
1,235,81
1,245,100
80,247,30
208,254,99
1,259,73
45,291,100
228,299,99
1,306,100
306,310,93
1,319,79
24,322,100
289,323,45
13,324,31
147,334,99
191,335,63
63,344,86
336,345,100
5,347,89
1,350,100
34,358,59
288,367,27
229,381,100
125,386,100
326,387,62
372,388,46
279,397,100
272,403,94
12,404,100
32,413,64
156,413,97
193,416,78
279,424,95
127,425,40
246,429,80
144,431,83
100,440,100
444,455,100
91,463,62
102,464,100
466,469,27
380,491,49
103,498,28
409,500,96
367,512,57
189,513,100
200,527,28
372,548,97
385,553,85
337,560,35
366,580,100
198,581,73
219,581,75
600,614,73
415,622,97
327,635,96
445,651,99
503,666,99
310,668,35
426,683,96
541,685,91
416,694,100
637,697,89
432,699,94
703,716,5
677,719,51
434,730,86
653,734,10
692,740,46
713,759,96
418,768,97
766,779,81
788,796,22
666,802,58
485,803,95
704,824,97
743,824,100
582,838,100
526,839,64
836,868,89
630,885,100
687,887,100
684,889,33
580,890,96
648,892,94
603,897,100
657,900,87
788,940,96
842,941,28
831,982,79
939,982,62
731,985,100
986,990,99
600,991,25
778,1000,39
969,1005,57
926,1009,78
714,1014,76
844,1018,95
811,1024,17
960,1025,79
651,1026,68
683,1036,58
978,1036,99
922,1038,64
812,1051,99
775,1056,70
938,1060,40
721,1063,58
961,1074,97
836,1077,1
1023,1082,33
800,1094,100
753,1099,69
771,1110,100
912,1113,20
1050,1120,99
858,1127,97
916,1129,94
923,1152,71
1110,1163,93
926,1172,79
861,1180,40
802,1181,96
960,1183,90
1186,1190,100
1053,1195,97
919,1216,88
884,1222,98
874,1234,51
1018,1242,77
1208,1248,98
1032,1252,89
858,1255,84
1233,1258,100
903,1266,76
1255,1287,78
1279,1289,39
1100,1303,99
974,1313,100
1112,1341,91
1329,1345,74
1320,1347,90
1242,1361,79
1317,1379,48
1359,1386,36
1157,1400,73
1185,1413,86
1341,1456,92
1464,1475,93
1113,1487,16
1326,1487,71
1145,1499,96
1344,1526,76
1406,1542,97
1158,1546,100
1248,1548,90
1385,1553,79
1200,1582,71
1430,1585,51
1308,1591,58
1541,1597,95
1582,1608,89
1297,1616,99
1540,1620,39
1519,1642,96
1399,1643,8
1367,1650,99
1413,1650,73
1515,1653,90
1279,1656,78
1513,1664,73
1314,1668,19
1469,1668,53
1485,1674,89
1311,1684,100
1478,1685,63
1600,1689,99
1594,1695,88
1361,1710,69
1597,1711,100
1326,1714,96
1500,1740,98
1696,1754,18
1411,1780,73
1650,1783,100
1463,1794,2
1662,1800,100
1446,1817,5
1628,1819,35
1709,1829,88
1586,1846,63
1573,1848,88
1690,1858,94
1743,1872,98
1562,1875,99
1545,1899,100
1519,1905,93
1895,1910,25
1907,1912,100
1569,1919,99
1739,1921,87
1890,1928,91
1582,1961,98
1773,1966,99
1883,1973,70
1799,1974,93
1655,1990,85
1654,2000,57
1701,2000,96
1709,2000,65
1727,2000,59
1767,2000,5
1769,2000,75
1770,2000,30
1805,2000,57
1840,2000,98
1892,2000,87
1950,2000,99
1981,2000,70
1993,2000,100
2000,2000,28
2000,2000,40
2000,2000,42
2000,2000,82
2000,2000,93
