s_i,f_i,c_i
1,1,57
9,9,12
1,11,78
1,55,88
1,62,95
1,63,40
60,108,94
111,116,79
116,118,93
1,129,100
1,135,69
166,176,94
48,186,97
1,189,27
1,191,100
139,193,89
13,198,89
182,240,98
51,243,100
52,248,82
39,268,59
1,275,85
1,278,100
98,278,57
80,286,100
157,291,79
209,302,91
121,315,100
1,341,98
176,346,73
206,378,98
195,386,46
360,397,87
179,401,98
401,403,81
373,410,100
220,414,74
166,427,95
204,435,92
141,449,80
221,457,82
204,459,51
303,478,100
421,479,78
341,481,72
176,486,100
183,491,99
110,495,24
258,515,97
360,527,100
266,528,100
274,536,83
423,550,43
551,552,1
408,556,74
432,557,32
406,558,100
534,558,54
297,563,99
310,563,84
334,571,89
455,573,84
378,575,41
378,576,99
487,580,97
473,582,86
558,601,100
242,606,41
542,607,91
409,634,17
358,635,48
283,640,92
419,648,90
527,653,13
551,653,98
447,654,66
339,658,27
412,661,31
509,662,100
311,664,93
667,673,70
427,698,100
505,732,35
380,733,100
530,740,90
679,741,48
376,742,100
347,745,94
680,753,20
707,767,34
729,768,100
440,770,52
513,777,81
477,782,72
716,782,100
612,812,69
664,823,39
646,827,74
546,829,13
804,849,43
494,857,99
756,859,87
712,864,54
853,870,87
813,878,51
482,879,58
666,884,89
532,901,96
775,912,100
661,919,80
608,921,24
888,926,96
930,972,100
621,993,92
937,1020,87
686,1049,94
761,1056,47
825,1061,39
786,1067,99
1012,1071,77
686,1074,100
782,1074,38
761,1082,100
927,1083,85
818,1099,38
777,1115,67
955,1120,74
882,1129,54
852,1140,79
995,1147,100
857,1149,62
841,1158,100
974,1160,89
993,1163,53
881,1166,31
1125,1171,94
1168,1190,54
956,1195,99
1075,1216,94
941,1222,99
954,1236,94
1103,1243,79
1218,1245,100
1114,1246,59
954,1265,100
1100,1269,96
1185,1269,84
1185,1271,99
1097,1275,90
915,1302,23
1038,1320,100
1324,1343,97
1334,1358,98
1010,1363,99
1306,1367,100
1091,1371,32
1298,1376,64
1318,1379,86
1199,1387,90
1212,1398,100
1367,1415,88
1321,1430,72
1378,1451,100
1084,1454,100
1273,1462,100
1408,1490,83
1325,1497,100
1125,1498,16
1484,1509,91
1119,1514,99
1482,1515,83
1410,1521,96
1198,1523,100
1316,1524,97
1310,1545,76
1521,1547,100
1412,1555,95
1471,1593,58
1310,1595,1
1247,1597,78
1549,1600,45
1410,1601,86
1418,1604,69
1242,1613,93
1227,1618,99
1626,1628,40
1353,1651,17
1370,1654,97
1566,1656,94
1645,1675,99
1481,1682,80
1642,1694,100
1321,1703,74
1684,1716,7
1702,1728,97
1416,1742,100
1659,1744,98
1408,1754,95
1661,1755,99
1588,1756,100
1639,1774,79
1665,1785,91
1471,1793,100
1764,1793,20
1782,1819,84
1539,1835,96
1742,1836,100
1626,1837,52
1713,1837,89
1832,1838,100
1480,1844,98
1647,1848,99
1712,1852,62
1663,1854,43
1602,1857,98
1615,1868,93
1680,1881,100
1726,1881,90
1593,1884,91
1758,1890,100
1848,1903,91
1778,1904,87
1703,1913,84
1813,1914,94
1733,1916,38
1608,1947,71
1801,1954,41
1902,1955,73
1700,1961,91
1761,1963,96
1599,1964,100
1605,1964,24
1915,1964,67
1588,1972,39
1836,1973,100
1894,1984,92
1949,1987,100
1890,1991,14
1669,2000,19
1674,2000,99
1728,2000,100
1740,2000,63
1771,2000,97
1821,2000,17
1881,2000,90
1917,2000,97
1931,2000,99
1987,2000,59
2000,2000,79
2000,2000,84
