s_i,f_i,c_i
1,1,32
1,40,100
1,51,100
1,61,100
1,68,89
24,81,96
39,98,42
53,101,98
1,121,34
109,131,100
112,138,87
1,155,99
20,167,100
160,175,21
135,177,74
83,194,100
1,196,100
72,200,17
101,216,61
93,230,100
1,233,79
86,239,100
54,244,99
1,250,11
128,253,80
145,263,87
39,265,95
108,265,100
128,275,75
19,285,41
1,296,25
115,321,100
296,330,94
67,335,100
1,337,88
237,364,70
143,379,100
142,385,52
280,405,4
15,413,18
280,431,33
355,442,98
62,444,75
130,469,92
147,487,76
453,499,100
123,501,29
475,502,48
457,509,98
295,535,9
355,541,98
177,544,53
553,565,30
328,580,80
253,586,100
338,586,100
215,587,60
274,596,92
500,596,96
253,607,86
584,621,65
318,623,94
548,626,89
278,628,9
324,631,90
623,634,88
271,641,99
408,644,99
294,660,100
413,668,100
612,672,13
480,684,91
522,702,82
570,705,100
654,737,58
484,744,33
615,745,60
630,748,9
430,749,96
479,749,100
482,752,73
564,774,99
473,785,85
556,788,100
619,829,100
762,830,97
822,853,100
765,856,97
607,857,93
681,870,66
620,891,16
651,895,94
813,901,99
552,903,95
879,913,99
544,919,63
773,923,27
860,963,85
643,968,50
647,976,97
659,997,95
748,998,100
784,1000,36
963,1000,100
710,1001,98
694,1016,29
639,1020,94
717,1046,98
754,1050,98
998,1055,89
682,1062,74
868,1062,46
959,1073,7
709,1078,98
819,1090,100
1059,1097,94
753,1101,100
778,1105,99
925,1126,25
1122,1154,97
1127,1154,92
918,1155,15
1105,1155,47
907,1162,100
1091,1165,63
900,1174,100
920,1180,100
1105,1209,97
1188,1211,69
1011,1215,75
1218,1221,17
919,1228,2
1120,1239,92
1156,1239,1
981,1241,99
901,1251,33
993,1271,8
1007,1275,3
1086,1281,87
1161,1285,100
1169,1291,76
996,1299,48
1010,1319,32
1178,1320,46
1087,1324,93
1126,1326,35
1130,1334,99
1025,1336,36
1145,1336,25
1056,1337,100
956,1338,18
1327,1339,100
1097,1353,100
1288,1366,92
1071,1370,88
1207,1380,100
1350,1386,78
1386,1394,94
1050,1404,56
1245,1414,80
1280,1430,100
1322,1437,99
1134,1439,3
1259,1447,94
1071,1453,100
1231,1454,66
1345,1456,62
1442,1463,38
1336,1482,22
1459,1482,51
1186,1494,92
1165,1507,100
1343,1523,84
1457,1525,99
1420,1536,100
1211,1551,88
1432,1566,32
1325,1573,45
1323,1581,97
1443,1582,96
1475,1585,100
1546,1585,79
1490,1599,100
1218,1601,90
1528,1601,100
1430,1607,100
1428,1616,100
1439,1617,100
1531,1618,94
1359,1619,100
1251,1623,87
1542,1625,80
1579,1629,32
1312,1657,60
1557,1675,70
1353,1676,54
1622,1685,48
1305,1691,96
1702,1707,62
1339,1710,78
1316,1715,100
1599,1718,9
1335,1734,76
1381,1738,62
1584,1742,49
1381,1763,100
1700,1768,100
1532,1774,77
1485,1781,100
1665,1790,60
1431,1795,91
1479,1820,99
1595,1823,54
1525,1824,91
1664,1828,93
1669,1860,100
1748,1873,9
1600,1878,74
1538,1881,92
1704,1881,84
1657,1883,88
1705,1892,99
1662,1894,68
1869,1897,98
1735,1899,97
1701,1900,100
1543,1910,79
1588,1916,82
1855,1916,42
1706,1928,83
1810,1933,69
1921,1939,54
1903,1965,91
1838,1969,89
1688,1972,7
1906,1977,71
1892,1983,93
1794,1999,29
1699,2000,25
1790,2000,5
1803,2000,9
1804,2000,100
1833,2000,65
1866,2000,23
1921,2000,100
1951,2000,7
1954,2000,98
1996,2000,100
1997,2000,97
2000,2000,78
