s_i,f_i,c_i
1,1,46
1,1,91
1,61,100
1,81,74
1,95,87
69,107,98
82,133,93
1,157,99
39,164,99
138,169,84
71,171,71
17,172,98
1,196,84
1,196,100
1,206,87
1,216,48
50,225,54
129,234,94
195,241,87
1,254,91
1,261,100
261,272,20
233,274,57
196,279,99
223,282,96
95,289,13
15,300,86
186,309,19
168,336,71
123,338,95
27,345,57
1,359,100
172,363,62
279,364,95
26,372,86
1,374,95
205,383,100
238,384,11
338,385,67
312,388,62
89,390,100
171,391,43
361,397,96
33,406,100
127,421,100
302,424,38
395,426,42
78,434,65
219,450,87
375,454,96
192,468,98
442,472,13
244,474,100
471,476,54
138,481,99
172,484,100
446,486,99
474,494,78
137,508,97
507,509,6
418,513,40
457,521,97
498,536,85
376,549,86
318,558,1
358,569,81
501,577,90
339,583,84
562,604,91
257,611,79
575,637,100
421,644,36
436,650,100
522,654,100
315,677,99
326,680,65
457,703,62
334,706,91
644,706,97
431,713,67
546,722,21
699,722,82
604,729,100
463,730,31
444,738,94
536,741,100
436,743,21
675,748,11
738,749,100
367,750,99
731,751,100
567,770,100
537,781,67
701,789,70
585,795,24
415,803,92
591,804,94
681,807,95
607,809,100
427,810,100
443,823,100
683,826,49
633,827,100
452,844,64
681,844,66
632,848,99
844,852,41
717,853,69
793,869,10
762,870,17
628,873,94
817,878,13
563,883,76
496,887,100
850,888,64
547,899,97
576,909,88
670,914,97
732,914,78
610,927,90
541,938,53
675,939,100
772,942,99
922,961,13
760,977,26
583,979,93
657,993,94
935,1011,91
913,1021,47
685,1033,57
850,1077,98
1025,1099,68
926,1102,96
1086,1104,15
989,1108,92
1009,1115,54
1047,1131,88
1052,1148,100
1081,1155,100
1120,1172,55
988,1175,100
931,1193,79
993,1196,100
1016,1213,73
1072,1216,79
1209,1217,100
877,1219,98
905,1219,100
1066,1221,13
961,1260,100
992,1283,50
1248,1285,90
1215,1296,65
1043,1298,96
925,1319,100
1112,1319,65
1271,1337,81
1077,1348,21
1054,1353,2
1008,1366,98
1152,1373,100
1247,1383,73
1067,1386,40
1002,1387,64
1272,1392,90
1261,1393,76
1085,1407,98
1067,1419,46
1396,1427,94
1316,1450,41
1452,1462,99
1244,1466,99
1248,1466,5
1360,1472,62
1378,1484,49
1407,1494,100
1168,1499,60
1185,1502,94
1347,1504,61
1275,1513,90
1490,1520,100
1449,1522,82
1408,1523,12
1218,1530,58
1527,1532,66
1270,1537,100
1228,1547,88
1241,1551,43
1367,1555,93
1383,1565,100
1468,1595,96
1240,1600,99
1629,1646,90
1410,1655,95
1394,1663,89
1427,1669,37
1435,1683,96
1537,1684,84
1556,1685,73
1637,1693,4
1665,1696,90
1480,1705,97
1493,1715,72
1610,1724,100
1528,1728,20
1698,1744,55
1404,1748,28
1370,1751,64
1673,1760,100
1722,1767,10
1617,1795,100
1750,1795,87
1752,1803,99
1483,1830,10
1446,1836,100
1665,1838,58
1529,1840,69
1469,1850,6
1830,1858,44
1683,1861,100
1757,1861,97
1784,1874,100
1658,1875,100
1606,1880,43
1556,1910,94
1737,1910,100
1547,1928,74
1817,1931,57
1890,1942,77
1737,1944,8
1724,1951,99
1952,1953,71
1882,1964,98
1704,1990,97
1856,1993,6
1716,2000,51
1744,2000,92
1746,2000,23
1847,2000,92
1848,2000,51
1864,2000,99
1873,2000,84
1885,2000,77
1900,2000,78
1932,2000,100
1963,2000,76
1972,2000,74
1988,2000,80
1995,2000,99
2000,2000,100
