s_i,f_i,c_i
1,3,9
1,65,63
66,86,100
19,92,4
1,99,98
1,105,69
60,131,30
73,132,38
1,153,69
49,160,71
60,168,45
159,179,86
1,181,79
1,194,87
142,194,100
28,215,100
1,216,71
1,223,100
1,228,99
1,242,100
196,255,72
1,258,63
167,264,100
104,266,7
1,270,100
1,277,100
90,287,76
135,287,100
11,292,57
135,302,84
273,327,61
273,327,99
234,335,100
275,341,100
245,350,48
303,367,67
23,375,14
66,378,86
80,380,98
231,411,98
295,413,19
349,432,99
385,442,100
163,443,13
391,448,100
69,453,100
412,455,95
211,456,22
71,459,100
146,460,97
172,472,100
180,488,35
293,490,100
442,493,49
463,495,75
258,503,45
376,505,42
312,509,97
383,517,98
492,518,87
380,522,94
463,533,94
184,542,82
247,548,86
544,549,99
246,559,99
535,563,100
460,566,99
392,594,22
413,595,59
546,604,99
266,614,37
359,619,100
617,623,68
271,633,95
599,639,100
544,640,97
261,653,100
304,660,50
620,695,78
411,699,37
395,701,68
381,709,83
648,734,99
531,737,75
364,740,67
728,745,42
624,750,88
627,750,65
405,751,57
388,768,100
491,770,99
751,792,8
671,801,97
550,805,85
682,825,89
535,827,100
835,839,100
538,847,55
537,851,81
621,855,47
556,867,53
552,888,95
886,888,96
534,892,66
841,903,100
778,928,96
628,938,100
619,945,29
601,947,26
666,960,83
682,962,91
879,972,69
917,978,87
614,992,100
873,995,26
840,999,100
638,1002,100
947,1018,4
944,1022,100
915,1026,95
970,1029,99
689,1030,93
749,1041,43
818,1041,95
918,1043,87
673,1052,18
704,1058,39
800,1059,89
670,1068,55
877,1070,100
822,1083,84
847,1084,100
752,1114,99
959,1121,74
753,1141,7
913,1142,89
874,1143,92
1075,1143,69
1102,1165,53
814,1173,99
905,1173,91
863,1184,47
1089,1206,8
1042,1210,95
974,1220,58
890,1222,82
937,1224,100
1016,1225,99
877,1232,2
1073,1238,69
1115,1262,94
999,1283,14
984,1284,73
1256,1305,79
930,1314,54
1323,1326,100
997,1330,95
1220,1334,100
1039,1336,100
1190,1345,78
994,1347,100
1070,1356,100
1128,1360,61
982,1368,15
1367,1378,68
1087,1387,94
1148,1412,56
1128,1414,100
1105,1419,57
1040,1437,95
1404,1468,99
1379,1469,18
1326,1470,93
1166,1471,78
1354,1473,30
1133,1483,100
1167,1496,95
1132,1505,95
1309,1507,100
1382,1509,73
1392,1536,98
1463,1542,60
1170,1546,23
1370,1547,100
1397,1549,95
1342,1559,66
1299,1561,41
1527,1563,22
1292,1564,94
1383,1564,52
1330,1565,97
1330,1568,23
1469,1572,88
1570,1577,36
1286,1580,100
1512,1596,99
1509,1598,100
1569,1616,33
1485,1618,27
1415,1619,2
1339,1632,47
1564,1633,89
1312,1646,28
1437,1655,67
1552,1663,99
1380,1684,36
1457,1696,93
1597,1704,59
1518,1707,69
1354,1713,33
1358,1714,100
1409,1725,61
1610,1733,99
1686,1734,96
1440,1746,14
1634,1784,78
1759,1792,95
1520,1797,36
1424,1802,60
1759,1806,99
1702,1807,91
1748,1831,55
1754,1835,93
1759,1838,90
1481,1840,37
1611,1843,96
1473,1849,32
1458,1852,93
1490,1861,91
1807,1861,100
1648,1865,66
1524,1892,51
1821,1896,79
1787,1911,73
1864,1914,29
1653,1924,90
1578,1926,50
1788,1972,9
1623,1982,80
1793,1983,72
1751,1986,91
1809,1990,87
1665,2000,26
1690,2000,98
1758,2000,63
1776,2000,6
1802,2000,100
1838,2000,93
1945,2000,93
