s_i,f_i,c_i
1,1,25
1,1,99
1,3,53
1,34,65
1,52,100
9,55,81
30,84,3
29,111,100
19,112,12
1,118,82
1,143,100
142,145,73
9,148,80
150,192,52
1,199,100
105,207,71
1,254,35
182,260,65
10,263,74
156,264,100
55,270,14
1,276,100
31,281,98
1,286,83
1,295,92
1,301,76
51,306,91
297,312,99
76,315,93
100,349,78
165,356,14
1,368,2
179,371,37
113,382,33
26,395,97
148,399,100
105,402,99
228,420,55
397,431,96
142,443,95
296,448,51
405,456,100
437,469,100
134,477,99
208,497,94
114,506,99
509,510,60
360,523,63
280,531,49
348,551,6
310,568,95
449,570,92
278,573,26
399,582,70
446,590,77
508,592,74
353,603,25
316,606,100
502,608,99
419,612,83
607,612,26
569,614,37
416,622,18
576,629,100
271,634,75
443,635,91
619,635,100
610,637,44
413,653,74
645,658,87
352,660,47
373,661,31
606,664,100
307,668,27
658,684,9
625,692,75
498,697,100
451,701,96
624,712,2
488,719,100
422,720,7
331,724,100
688,736,57
588,764,99
570,765,82
445,770,89
462,770,24
710,783,21
512,792,100
717,798,100
724,798,100
691,809,96
436,810,14
685,811,45
564,812,100
739,817,17
590,841,100
509,853,66
489,854,100
802,884,63
682,905,91
600,919,64
828,923,100
623,931,99
761,932,13
922,946,100
598,972,85
662,973,83
892,977,99
667,980,98
603,985,38
783,989,4
803,991,2
821,1006,95
933,1012,92
800,1025,75
869,1027,95
799,1039,100
1002,1056,8
885,1059,10
915,1075,50
710,1080,99
1112,1115,13
972,1126,98
853,1132,19
1117,1136,92
886,1138,96
1103,1143,96
952,1147,98
766,1162,100
775,1171,99
888,1185,83
1189,1200,93
1047,1201,91
885,1206,100
866,1207,40
1027,1209,55
1025,1221,99
1226,1240,100
1140,1269,69
1186,1272,94
1217,1272,96
1206,1276,61
960,1277,81
1083,1285,100
984,1287,69
975,1294,73
899,1297,25
1167,1299,98
1266,1308,9
1055,1309,93
1141,1324,69
1012,1330,80
1175,1330,58
1204,1343,49
989,1347,100
1243,1361,16
1290,1363,100
1367,1387,100
1349,1407,83
1278,1412,95
1271,1417,96
1296,1420,46
1319,1424,96
1384,1429,82
1362,1433,100
1096,1456,43
1212,1476,8
1409,1476,14
1199,1480,100
1311,1480,85
1451,1481,97
1158,1495,100
1104,1499,100
1275,1500,100
1398,1507,100
1220,1510,100
1199,1512,26
1440,1518,100
1238,1532,14
1476,1535,93
1293,1536,84
1505,1537,22
1324,1545,99
1224,1547,89
1250,1548,36
1447,1554,84
1410,1571,42
1282,1598,40
1501,1600,26
1392,1604,100
1397,1612,82
1618,1651,100
1491,1657,100
1389,1658,53
1664,1668,96
1295,1685,78
1671,1691,87
1566,1709,79
1433,1731,100
1538,1733,100
1601,1741,100
1642,1752,96
1622,1760,100
1731,1762,26
1380,1767,97
1730,1776,100
1476,1781,88
1589,1786,100
1762,1796,100
1640,1798,36
1471,1807,53
1465,1816,100
1806,1820,98
1645,1821,11
1459,1824,87
1606,1827,81
1660,1837,97
1564,1842,27
1846,1872,79
1589,1877,22
1592,1879,98
1678,1895,80
1614,1905,94
1777,1905,89
1899,1920,100
1815,1927,91
1676,1936,100
1679,1942,95
1682,1952,97
1910,1954,100
1944,1955,90
1587,1971,15
1854,1976,100
1736,1981,77
1602,1994,100
1681,2000,99
1695,2000,24
1738,2000,100
1806,2000,10
1813,2000,96
1855,2000,56
1869,2000,19
1879,2000,66
1918,2000,76
1920,2000,96
1921,2000,75
1932,2000,91
2000,2000,98
2000,2000,100
