s_i,f_i,c_i
1,1,31
1,61,67
1,75,96
69,93,100
3,96,89
1,113,88
1,118,100
1,126,81
2,126,84
74,129,39
1,130,71
113,131,100
42,134,97
40,142,99
65,153,88
111,155,88
39,198,36
186,206,99
1,217,88
6,218,99
92,218,100
59,232,99
1,236,100
13,237,87
177,250,84
44,253,100
29,255,100
246,263,99
98,271,39
7,276,99
266,279,99
1,286,36
1,289,99
139,292,60
40,298,100
240,320,40
129,329,60
301,329,95
114,332,81
7,335,42
253,341,100
53,343,100
137,347,100
1,348,80
89,350,98
10,354,33
250,362,90
1,368,93
2,372,24
49,376,100
301,390,100
265,391,69
6,392,100
167,403,80
97,406,88
106,421,100
397,421,72
56,451,100
347,454,74
196,465,53
300,472,97
243,482,100
365,516,62
155,530,89
209,533,68
473,535,97
257,547,100
550,569,85
510,571,66
534,577,100
208,587,100
443,593,95
612,617,48
404,622,83
401,636,94
585,647,91
659,659,100
483,660,81
519,666,84
440,682,100
683,694,51
500,700,73
642,702,95
502,712,95
508,713,66
353,715,76
520,722,88
420,739,100
622,770,14
469,771,82
495,790,100
489,805,77
558,812,1
792,824,49
570,835,34
577,847,98
679,847,100
757,861,94
543,872,53
802,881,100
602,887,83
527,892,69
742,904,92
729,906,59
689,922,89
573,935,97
915,967,91
821,973,100
642,981,100
780,981,9
951,993,85
606,995,76
720,996,55
921,1008,89
717,1009,94
912,1011,43
646,1025,97
779,1034,58
680,1053,41
736,1055,100
807,1058,100
964,1069,100
814,1076,97
697,1086,90
1006,1115,98
866,1133,38
797,1140,100
1032,1157,48
1097,1170,26
1099,1185,48
1095,1196,100
816,1201,97
1002,1204,21
954,1223,84
1086,1224,100
1182,1233,97
905,1270,11
1201,1270,99
954,1300,49
1114,1303,29
1272,1308,75
1199,1310,13
957,1316,99
1325,1340,46
1011,1345,96
1119,1354,74
1231,1354,78
989,1364,53
1074,1367,78
1338,1368,91
1116,1375,68
1341,1375,100
1149,1384,96
1008,1389,99
1123,1391,100
1040,1397,87
1338,1399,99
1190,1403,40
1193,1407,100
1298,1415,100
1323,1428,91
1247,1439,16
1107,1455,100
1197,1457,100
1145,1458,93
1182,1461,100
1273,1468,77
1326,1484,85
1299,1496,78
1158,1511,47
1166,1520,73
1471,1531,100
1268,1537,83
1425,1538,76
1294,1541,95
1227,1549,98
1181,1558,48
1390,1558,93
1542,1567,99
1549,1569,22
1339,1570,100
1436,1579,100
1350,1583,100
1368,1592,9
1368,1594,100
1322,1595,85
1197,1596,78
1607,1607,100
1426,1610,97
1592,1617,99
1305,1635,93
1420,1682,93
1610,1687,92
1663,1694,65
1606,1695,13
1631,1697,100
1403,1700,9
1510,1709,95
1675,1711,93
1385,1741,100
1567,1745,100
1552,1749,99
1577,1755,100
1442,1757,50
1592,1759,97
1738,1770,100
1791,1796,11
1631,1799,72
1617,1800,85
1437,1804,96
1732,1827,25
1448,1828,44
1513,1832,91
1593,1835,100
1637,1845,100
1747,1847,96
1674,1848,100
1801,1855,100
1642,1871,12
1497,1883,4
1670,1885,99
1812,1898,100
1528,1900,70
1666,1902,9
1536,1912,32
1675,1914,77
1527,1924,24
1598,1928,97
1751,1928,99
1692,1938,11
1609,1946,42
1668,1954,6
1670,1959,99
1794,1972,93
1601,1974,15
1793,1979,100
1643,1984,100
1627,1986,85
1842,1986,100
1631,1989,46
1909,1992,77
1733,2000,100
1752,2000,100
1762,2000,99
1867,2000,63
1874,2000,100
1894,2000,88
1898,2000,18
1921,2000,100
1985,2000,100
