s_i,f_i,c_i
1,1,10
1,1,51
1,1,80
1,1,100
12,29,71
1,61,92
52,109,11
1,114,91
17,121,6
123,124,100
1,176,57
70,199,80
135,200,100
58,201,16
1,210,100
87,228,100
203,228,83
36,229,70
2,241,76
93,242,99
1,252,49
1,253,66
206,256,1
1,257,58
215,260,54
257,263,100
1,288,100
220,305,99
132,309,91
1,318,68
134,318,100
139,342,9
1,351,14
216,352,26
32,361,55
17,364,25
1,367,96
36,379,53
106,387,75
240,398,93
232,410,100
345,416,97
347,419,39
298,428,55
69,434,100
210,442,89
328,443,53
444,455,100
278,465,100
88,473,100
469,479,57
131,480,99
371,499,4
150,502,94
324,511,94
475,515,91
329,527,9
272,534,46
164,535,99
430,562,89
418,567,82
285,573,71
581,594,100
530,598,86
420,624,100
533,639,94
418,641,61
625,644,67
271,655,98
356,656,100
399,660,100
622,675,96
658,693,65
338,694,100
382,705,95
623,713,59
703,723,99
486,733,100
445,735,42
465,736,100
390,737,75
558,743,68
395,747,66
669,761,9
402,773,12
392,774,99
508,776,66
681,786,67
601,787,99
404,791,95
401,792,100
765,794,15
566,802,100
764,802,47
576,810,97
609,810,95
776,824,47
805,832,100
624,837,60
732,847,95
793,856,82
831,859,70
672,864,100
508,883,93
573,886,40
646,896,100
791,897,26
662,909,75
890,918,95
608,921,100
734,923,34
575,934,94
795,940,100
877,950,83
569,964,94
717,966,1
632,971,100
702,996,86
822,1012,87
851,1022,99
951,1024,63
664,1035,58
882,1035,98
717,1041,22
710,1043,99
763,1053,98
920,1059,97
940,1059,31
668,1066,94
993,1067,88
889,1072,19
787,1087,100
746,1118,49
963,1122,71
757,1135,100
1036,1151,81
793,1163,72
863,1170,100
929,1173,100
1102,1173,100
1170,1183,100
1150,1228,37
942,1229,95
1107,1240,47
899,1243,99
871,1247,92
1266,1280,100
1069,1283,86
1182,1283,100
1257,1291,99
1053,1303,73
926,1305,100
1158,1316,100
1277,1317,96
1180,1328,100
1170,1344,95
1243,1351,42
970,1367,95
1085,1393,99
1060,1399,37
1032,1400,100
1268,1404,17
1020,1405,43
1191,1417,91
1408,1440,78
1135,1443,44
1102,1444,75
1362,1444,59
1070,1445,82
1118,1450,17
1191,1454,57
1149,1468,98
1320,1471,18
1410,1482,96
1303,1484,100
1156,1500,17
1487,1520,19
1209,1540,48
1475,1540,100
1158,1545,100
1170,1549,91
1432,1551,45
1363,1553,48
1465,1555,53
1346,1556,100
1197,1572,81
1418,1594,18
1225,1605,2
1237,1609,7
1586,1621,99
1358,1640,74
1407,1657,47
1485,1659,76
1299,1660,95
1278,1674,83
1386,1681,97
1515,1684,22
1397,1685,83
1537,1686,92
1315,1695,100
1586,1701,49
1523,1707,72
1422,1715,100
1464,1725,100
1640,1730,91
1505,1738,53
1482,1740,88
1428,1748,100
1589,1756,91
1478,1770,40
1797,1811,92
1810,1813,6
1663,1826,95
1686,1848,16
1640,1854,96
1775,1854,67
1569,1866,23
1768,1867,89
1818,1881,100
1612,1896,61
1818,1898,95
1712,1914,96
1910,1916,13
1834,1920,100
1625,1922,32
1612,1932,41
1680,1942,100
1801,1944,100
1868,1950,24
1801,1959,74
1655,1965,84
1600,1975,61
1833,1981,100
1651,1986,68
1955,1991,100
1702,1992,99
1677,1993,59
1646,2000,76
1741,2000,100
1809,2000,100
1822,2000,100
1830,2000,54
1840,2000,93
1873,2000,73
1913,2000,100
1916,2000,100
1938,2000,96
1939,2000,100
1958,2000,100
2000,2000,76
