s_i,f_i,c_i
1,1,13
1,1,58
1,1,83
1,1,97
1,14,81
1,22,53
1,22,99
29,58,45
17,59,62
71,94,79
101,139,100
112,157,99
9,162,11
1,183,7
119,202,57
133,213,70
112,218,93
1,255,2
1,261,99
139,261,73
112,273,97
107,281,97
23,282,77
1,286,99
5,290,96
262,290,33
1,307,100
134,308,91
21,317,91
248,318,13
1,327,89
185,330,82
1,342,81
24,342,100
125,345,94
1,354,49
124,365,93
123,378,43
168,379,78
196,415,100
317,417,63
250,432,80
231,433,91
195,440,67
245,451,55
85,456,99
350,456,76
104,457,6
366,472,20
302,476,100
379,479,45
483,492,29
98,496,95
166,496,8
465,498,93
176,503,100
364,506,100
152,523,100
463,526,91
493,531,63
282,536,100
473,542,100
240,559,98
484,575,99
237,576,100
397,595,100
272,641,2
580,648,96
560,655,95
265,656,91
666,668,42
683,705,100
643,713,96
675,715,99
472,723,92
656,728,37
673,771,100
569,776,82
726,790,100
553,793,99
429,796,100
693,798,99
533,822,96
707,823,96
470,824,100
671,836,32
452,841,31
749,846,35
702,854,14
826,854,98
589,862,97
600,866,98
547,875,72
525,876,98
801,888,65
714,901,98
747,904,74
721,915,75
778,920,95
769,921,56
585,925,58
764,926,65
873,937,96
699,938,94
897,938,22
750,945,100
643,949,85
742,954,70
821,954,100
677,966,80
882,989,100
712,1001,74
837,1008,100
856,1008,51
619,1016,100
852,1029,100
631,1030,23
649,1042,97
819,1064,90
888,1080,100
843,1088,58
1037,1107,7
1072,1117,89
916,1128,100
833,1140,100
1064,1141,100
1120,1141,93
897,1166,95
794,1173,50
1151,1180,27
1165,1190,9
900,1199,100
1129,1199,90
1087,1225,11
1023,1231,94
1182,1243,95
1047,1250,89
1236,1250,35
946,1258,100
1026,1267,48
1053,1280,45
1054,1283,61
909,1286,67
1270,1286,55
1064,1295,99
971,1300,85
1070,1310,31
1038,1311,96
1221,1315,17
977,1316,90
1167,1336,29
1333,1336,57
994,1343,72
1117,1349,69
1355,1358,41
1159,1361,50
1186,1366,25
1322,1388,82
1011,1393,71
1353,1393,53
1128,1395,20
1332,1401,100
1361,1404,99
1059,1405,91
1278,1408,100
1187,1410,8
1048,1417,71
1112,1417,92
1079,1422,81
1101,1424,48
1243,1432,24
1090,1442,89
1093,1452,92
1185,1457,93
1088,1466,69
1411,1473,84
1341,1480,95
1188,1482,58
1171,1491,82
1151,1493,76
1439,1494,24
1388,1524,84
1248,1526,25
1313,1535,80
1384,1546,99
1507,1549,57
1263,1558,100
1276,1561,100
1345,1575,92
1572,1581,10
1251,1595,24
1488,1603,96
1408,1606,83
1566,1606,65
1289,1629,77
1452,1636,91
1261,1657,96
1609,1665,93
1420,1674,73
1404,1676,38
1298,1677,95
1637,1678,32
1470,1688,100
1380,1693,98
1629,1722,86
1650,1738,67
1504,1747,50
1734,1750,95
1744,1755,100
1760,1768,100
1694,1777,21
1582,1794,99
1658,1808,93
1655,1814,81
1598,1829,100
1757,1833,89
1649,1845,94
1715,1855,91
1598,1873,34
1870,1875,100
1711,1877,70
1620,1885,73
1693,1887,76
1790,1893,75
1760,1900,82
1777,1903,96
1664,1904,88
1610,1905,84
1903,1916,88
1882,1923,96
1752,1932,60
1688,1940,100
1793,1950,87
1660,1953,100
1896,1964,100
1663,1970,80
1694,1977,67
1735,2000,93
1792,2000,90
1827,2000,16
1834,2000,62
1864,2000,95
1910,2000,47
1924,2000,79
1925,2000,45
1939,2000,100
1974,2000,84
2000,2000,62
2000,2000,72
2000,2000,100
