s_i,f_i,c_i
1,1,91
1,7,91
1,68,89
15,74,72
1,78,90
1,93,26
92,95,100
34,107,90
1,109,93
1,135,93
1,140,77
45,145,79
22,150,100
138,153,100
13,165,99
1,198,76
130,218,75
218,219,14
50,226,99
213,231,69
38,238,70
1,267,95
144,271,100
1,303,100
1,304,17
112,305,94
1,315,74
219,318,94
96,337,99
248,346,99
192,349,93
286,350,92
133,369,1
336,370,66
310,371,90
67,392,71
37,402,89
192,405,100
376,406,100
338,414,31
382,421,71
420,467,57
402,469,76
441,471,73
325,483,100
120,500,11
532,538,67
501,541,100
478,551,96
179,555,65
526,561,100
484,574,96
237,595,17
365,596,98
574,604,100
398,620,42
267,627,53
248,628,60
551,631,97
254,636,98
260,636,90
301,645,100
261,648,93
418,651,87
386,653,84
322,655,6
533,665,100
398,682,80
425,690,99
450,695,36
393,697,64
654,705,44
505,723,55
350,725,71
516,728,96
501,729,99
501,743,100
413,752,19
482,756,93
602,760,31
697,761,99
503,762,44
702,774,88
554,779,77
726,780,92
604,798,36
795,798,100
712,807,42
711,813,100
549,817,8
436,818,21
627,823,52
634,825,95
530,828,60
692,852,45
832,856,83
559,859,96
690,861,92
707,862,100
551,870,31
802,876,98
533,878,87
801,881,100
614,886,82
505,887,99
638,888,79
504,895,100
518,903,68
838,916,81
621,919,58
625,921,36
609,927,100
586,951,100
652,953,99
839,954,100
596,963,100
748,977,94
839,983,85
637,990,100
706,1012,83
740,1019,75
1021,1028,59
775,1029,99
957,1040,91
760,1052,99
875,1056,84
809,1062,20
1017,1072,68
855,1084,100
955,1095,64
1020,1097,80
1024,1097,95
922,1121,100
835,1131,81
826,1150,87
1161,1174,100
885,1185,100
1148,1186,100
987,1195,17
864,1199,88
1101,1211,22
1136,1226,73
934,1245,100
1089,1261,96
989,1264,96
1264,1269,100
1065,1277,97
1213,1277,100
1100,1284,90
931,1298,100
1051,1299,77
1022,1311,70
1200,1312,83
1270,1318,77
956,1324,100
1308,1325,100
949,1326,1
1155,1334,65
1242,1353,57
1087,1355,19
1120,1364,69
1151,1369,74
1338,1373,72
1073,1377,42
1183,1380,44
983,1381,64
1227,1381,97
1270,1381,71
1211,1393,94
1271,1406,98
1240,1419,83
1153,1435,2
1278,1456,99
1372,1458,74
1388,1459,88
1147,1472,59
1118,1479,96
1261,1480,88
1248,1484,60
1446,1493,98
1476,1494,63
1344,1497,32
1280,1500,50
1478,1505,62
1233,1509,61
1367,1511,95
1511,1523,73
1353,1544,74
1353,1549,83
1473,1552,100
1501,1562,6
1211,1567,74
1521,1567,38
1361,1575,92
1230,1580,72
1240,1581,96
1561,1602,28
1342,1617,74
1342,1623,53
1304,1624,3
1332,1628,100
1268,1629,2
1345,1635,52
1356,1637,38
1557,1662,40
1299,1672,96
1660,1688,93
1495,1690,79
1695,1699,90
1546,1738,99
1567,1743,90
1670,1764,82
1561,1767,92
1669,1768,100
1676,1768,100
1765,1772,100
1470,1781,82
1698,1782,100
1514,1783,87
1712,1796,53
1429,1797,96
1500,1863,81
1481,1872,100
1585,1893,100
1666,1895,14
1897,1909,100
1758,1918,95
1899,1927,99
1827,1928,84
1921,1941,90
1571,1966,100
1793,1966,97
1813,1966,100
1953,1970,75
1703,1978,100
1663,1983,61
1624,1987,100
1613,2000,100
1784,2000,71
1786,2000,39
1798,2000,84
1865,2000,100
1874,2000,76
1875,2000,84
1878,2000,99
1891,2000,56
1956,2000,100
1961,2000,99
1972,2000,99
1996,2000,89
