s_i,f_i,c_i
1,1,6
1,1,47
1,1,86
1,1,99
1,1,100
25,32,59
1,61,96
1,66,82
1,72,78
1,80,100
42,88,81
99,112,75
25,135,89
112,145,100
9,157,85
1,164,89
57,167,99
145,180,90
38,194,1
163,200,98
177,205,100
1,212,29
76,217,100
157,228,21
247,251,99
104,255,90
71,276,6
138,278,100
111,284,84
275,286,80
258,302,75
271,305,62
109,314,100
274,325,29
8,328,90
111,332,93
1,347,100
1,352,99
124,403,97
94,409,97
313,411,23
198,422,72
44,428,100
127,429,20
193,439,45
127,440,41
350,444,95
185,463,92
390,465,78
278,482,61
452,483,90
301,493,49
174,512,83
541,544,72
523,572,100
517,576,66
586,591,100
389,598,97
395,601,100
438,605,54
478,612,100
450,632,46
430,641,97
342,642,79
317,644,36
431,645,82
389,648,99
552,661,10
575,670,81
388,682,99
357,694,85
430,694,100
439,695,53
417,704,83
516,706,14
631,716,70
559,726,99
477,729,98
721,730,28
561,731,94
470,757,100
470,766,100
466,778,60
486,789,100
533,789,5
460,797,93
627,816,98
426,821,75
554,825,39
530,829,100
711,833,100
465,851,23
585,867,88
710,872,71
747,879,98
606,894,99
794,902,70
672,908,61
726,911,48
733,914,44
638,954,100
682,957,100
761,964,71
685,975,61
677,980,97
835,995,88
979,1007,49
852,1029,72
891,1044,99
736,1050,100
752,1051,26
701,1054,95
695,1062,100
728,1073,100
737,1076,97
863,1079,38
1044,1082,100
700,1083,41
1074,1111,89
1079,1121,78
1017,1125,83
995,1138,51
823,1139,39
1102,1140,98
1058,1152,100
882,1156,16
1024,1161,100
825,1164,63
1055,1185,100
1164,1192,89
1120,1199,86
836,1215,97
1147,1221,59
1145,1224,87
936,1251,91
1003,1267,100
1007,1288,78
1251,1316,100
1206,1325,100
1087,1332,49
1264,1333,100
1147,1336,25
1078,1337,38
1216,1344,24
1082,1348,38
1168,1353,90
1043,1387,78
1084,1389,85
1039,1404,45
1160,1408,96
1322,1409,85
1324,1409,33
1059,1429,98
1128,1436,71
1133,1447,99
1063,1449,94
1381,1451,28
1336,1477,81
1110,1492,100
1469,1492,47
1230,1508,89
1459,1524,96
1460,1532,90
1513,1535,94
1310,1551,100
1272,1553,98
1192,1557,97
1508,1567,89
1302,1585,73
1501,1588,68
1552,1594,72
1218,1605,94
1401,1610,52
1286,1611,100
1550,1614,71
1518,1618,30
1282,1631,28
1559,1634,85
1512,1635,99
1602,1635,78
1630,1635,100
1402,1647,78
1466,1655,69
1371,1668,19
1357,1671,100
1535,1672,100
1351,1679,98
1484,1680,95
1485,1680,29
1497,1683,56
1374,1694,12
1368,1697,23
1513,1698,88
1551,1698,79
1450,1703,100
1480,1717,9
1488,1719,100
1522,1723,73
1514,1725,92
1490,1737,95
1519,1761,78
1576,1764,93
1450,1765,85
1610,1772,88
1629,1782,95
1745,1782,97
1440,1796,98
1644,1797,98
1634,1800,99
1755,1801,13
1776,1807,98
1527,1821,31
1445,1824,54
1493,1832,68
1537,1834,54
1667,1854,76
1467,1859,77
1627,1875,100
1483,1876,91
1586,1883,100
1839,1887,99
1834,1889,100
1817,1893,97
1743,1908,87
1567,1911,27
1651,1919,98
1549,1923,97
1539,1924,61
1869,1950,43
1587,1954,55
1732,1956,27
1821,1958,100
1627,1968,26
1770,1968,96
1682,2000,100
1687,2000,84
1696,2000,50
1737,2000,93
1784,2000,52
1809,2000,96
1813,2000,98
1884,2000,29
1913,2000,52
1917,2000,85
1924,2000,100
1946,2000,64
1970,2000,41
1991,2000,70
2000,2000,40
2000,2000,89
